"","user","type"
"1","#Dhanush @Samanthaprabhu2 @iamAmyJackson starrer #VIP fame dir #Velraj's #Thangamagan first look posters. #Anirudh http://t.co/zdOlWIOiEQ","movies"
"2","#10Endrathukulla - gaana gaana | song teaser https://t.co/n7LKke2MYp grand release on OCT 21st. #Chiyaan #vikram #10ek","movies"
"3","#Vedalam look and feel credit goes to two big guns @directorsiva gold medlalist in cinematography and @vetrivisuals the ace cameraman","movies"
"4","#Vedalam poster ft.The phantom has started the hunt at the BO.#Ajith looks menacing @directorsiva  @anirudhofficial http://t.co/PtLW5nCruL","movies"
"5","#Puli - making video https://t.co/LpEIosNzJu #Vijay #Shrutihassan #Sridevi #Hansika #sudeep","movies"
"6","#NaanumRowdyDhaan - official teaser http://t.co/Lt6X1cjsnW #VijaySethupathi #Nayanthara #anirudh","movies"
"7","#Ajith's #VEDALAM | new cool posters. Ì†ΩÌ±çÌ†ºÌøº http://t.co/9DPB7hn5Ag","movies"
"8","#Rudramadevi opened with average review &amp; turning to positive.Tamil version from Oct.16th. #Anushka http://t.co/pLF0axqoDv","movies"
"9","#MaalaiNerathuMayakkam | full songs | audio juke box | https://t.co/yvzBm9qLLs #MaalaiNaerathuMayakkam @GitanjaliSelva @selvaraghavan","movies"
"10","#Puli enters 2nd week celebrated by kids and families #Vijay @SKTStudios @ThisIsDSP @shrutihaasan @ihansika #Sridevi http://t.co/nlDFDUk5N7","movies"
"11","#Ajith #Vedalam teaser literally set up the tempo..Now the trade is very excited about the film and there is a huge buzz.","movies"
"12","#PazhayaVannarapettai - official trailer http://t.co/j4MeJ502Oj #DiwaliRelease","movies"
"13","Its a carnage..#Vedalam becomes the fastest indian teaser to garner 1 lakh likes! Way to go.. @directorsiva @SureshChandraa @vedalamofficial","movies"
"14","#MaalaiNaerathuMayakkam tracklist.. Audio from tomorrow. #ThinkMusic http://t.co/v1GAVdHrY4","movies"
"15","@ShridharR hi sir long time how are you?","movies"
