"","user","type"
"1","Dhoni: Rahane is someone who should bat up the order. Lower down, he faces difficulty http://t.co/9YM9GHCPx6 #INDvSA http://t.co/HekmV8NG3g","sports"
"2","Dhoni also hinted at the possibility of playing three spinners for the first ODI in Kanpur. #INDvSA http://t.co/EiuVFTENDb","sports"
"3","Dhoni: Umesh's pace helps us. But it is also important to maintain good line and length. On his day he can be a really good bowler. #INDvSA","sports"
"4","Dhoni: Gurkeerat will have to wait for his chance. He will not play straightaway. But it's nice to have multi-talented players. #INDvSA","sports"
"5","Dhoni: We will try to play him (Rahane) in the top three. Otherwise it will be tough for him to feature. #INDvSA","sports"
"6","MS Dhoni: Ajinkya Rahane is someone more suited at the top of the order, not at No. 6. #INDvSA http://t.co/UMPwnF2vvX","sports"
"7","AB: Don't think Ashwin got me out in the T20s. I got myself out. But he is a top-class bowler and must be respected. http://t.co/J4P6Cw8vyp","sports"
"8","AB de Villiers: The (Kanpur) pitch looks a very good wicket. Doesn't look like it would do anything out of the ordinary. #INDvSA","sports"
"9","When asked if he would open the batting like he did in the T20Is, AB flatly said ""No"". #INDvSA http://t.co/cxVd41ldzf","sports"
"10","AB: The series is not being seen around spinners. The pacers have won games for us mostly. We have a balanced bowling attack. #INDvSA","sports"
"11","AB de Villiers: Strong possibility that Quinton de Kock might play. He did really well in the A series. I am really excited for him. #INDvSA","sports"
"12","Tendulkar: Indian cricket is moving in the right direction but there is room for improvement. http://t.co/Hl20hu4rUU http://t.co/luAWadL1YE","sports"
"13","CUTTING TIES: What is the reason behind Pepsi's decision to end its association with IPL? http://t.co/BgBWcPjUoS http://t.co/b7Ld84wjHH","sports"
"14","BEAST MODE: On this day in 2003, Matthew Hayden blasted his way into the record books. http://t.co/vnFA3s8kHA http://t.co/tAIwm08f60","sports"
"15","IRE held their nerve and beat ZIM by 5 runs in #CWC15.
Now, ZIM take revenge and clinch a thriller by 2 wickets to go 1-0 up. #ZIMvIRE","sports"
"16","There were as many as 10 players 'on the table' during the 2010 Mohali Test, says Nitin Patel to @thecricketcouch. 

http://t.co/OzNoExH0tY","sports"
