"","user","type"
"1","Overhead crowd shot at Kansas, down 52-7 to Baylor w/11 mins to go in the 3Q http://t.co/3jdMbWjnFT","sports"
"2","The perfect drink before Texas-Oklahoma game: S'mores Beer at State Fair of Texas http://t.co/4SzJOu8AnV","sports"
"3","This is outstanding  https://t.co/KBVMMAlSD5","sports"
"4","@paulnbarger line started at 12 sir","sports"
"5","@s_denmark uh that's his father","sports"
"6","@paulnbarger how so? Northwestern has held opponents to 7 point average and they're +10.","sports"
"7","Mike Leach's 1st job as an asst OL coach at Cal-Poly San Luis Obispo paid him $3,000 a year.","sports"
"8","@md_schmidt harbaugh himself admitted as much in 1985","sports"
"9","Jim Harbaugh's dad Jack often had delay of game penalties at W Michigan when Jim's Michigan scores were announced http://t.co/cVtLh4QaIm","sports"
"10","Concession prices at Texas-Oklahoma in 1965 (H/T @jamo16golf) http://t.co/rU1gzuYGUN","sports"
"11","@FreshPrince603 45 points no matter who you play is a lot to cover","sports"
"12","Most interesting bet in college FB today? 97% of $ bet @WilliamHillUS is for Ole Miss to cover 45 pt spread http://t.co/Kl8nHQlih7","sports"
"13","@Shiekhers @PRyanTexas in staring at the data straight from stubhub right now. Avg of every single ticket sold.","sports"
"14","Surprise: Texas-OU get in price for a pair is the highest since '09, @PRyanTexas says it's because so many dumped early, scarce by today","sports"
"15","@BenjLerer in drafts, not timed.","sports"
"16","Clayton Kershaw is now 1-6 in the postseason. This is his 1st loss vs the Mets in 10 career starts.","sports"
"17","Menu on Royals flight to Houston tonight included Joe's &amp; Sheridan's custard Ì†ΩÌ±ç (via @TheRealJGuts) http://t.co/khpi35euou","sports"
"18","@MarcMalusis ok, but 53 times?","sports"
"19","This season, Clayton Kershaw is getting paid more than 53 TIMES what the Mets are paying Jacob deGrom ($30M vs $556,875)","sports"
"20","@adzmetzel this is serious","sports"
"21","Mets paid deGrom &amp; Harvey a combined $1.17M this season. They paid Bobby Bonilla $1.19M.","sports"
"22","Great Dodger Stadium shot tonight from the lens of @ewest26 http://t.co/guwpaMS5q2","sports"
"23","Headlines: WE ARE PHAMILY (@JalenFrRosemont), CUBS FALL, BIFF WORRIED (@schaufDS), CUBS BATS AMBUSCHED (@rajijos)","sports"
"24","@GeorgeStHelms my name is Darren actually","sports"
"25","@oconnorkyle Um, nope","sports"
"26","Cardinals beat Cubs. Headlines.","sports"
"27","@bazboyd have work + 3 kids under 4.","sports"
"28","Bittersweet as a Mets tonight. I've realized I'm too old for 9:45 pm starts.","sports"
"29","How long was Tommy Pham on the cusp of the majors? He has a ROOKIE card from 2010 http://t.co/o35ehRRTnt","sports"
"30","Here's a look at the Cardinals payroll 25 years ago http://t.co/rok3IQhaVt","sports"
"31","@M_J_R55 good luck.","sports"
"32","@redsoxforever42 I actually did not","sports"
"33","@eswitt haha","sports"
"34","The geographical divide between Cubs &amp; Cardinals fans from the @NYTimes http://t.co/f7AkPTzjkd","sports"
"35","Anheuser-Busch brought its Clydesdales to the game tonight. A-B owns more than 180 of them. http://t.co/OBmwgjVps5","sports"
"36","@PhilHecken haha","sports"
"37","Tremendous hat, think this will sell well for a lot of teams (Instagram/Prezedintcarter) http://t.co/JQqgB05WwU","sports"
"38","For Kevin Plank getting Wisconsin was about nostalgia &amp; strategy http://t.co/evzyWOL3nF","sports"
"39","@JosephAkroush @ChrisAwad16 done","sports"
"40","Wisconsin deal to Under Armour is done -- 10 years, $96 million","sports"
"41","Shirt in Tallahassee http://t.co/vlTf0sjyoI","sports"
"42","@newsbrittany yes, see you there?","sports"
"43","@Caleb_Mezzy oh god, is that their number now?","sports"
"44","Flashback: Business card to my sports business radio show at Northwestern my senior year in 1999 http://t.co/RRBS2YEatk","sports"
"45","@KevinClarkWSJ ""From Last Rites To Uprights?""","sports"
"46","@ArmenSaryan green and blue and the Z","sports"
"47","@Buster_ESPN @irvmoss Zephyrs hat will go down as one of the best minor league hats of all time. Wrote the team in 1990 to get one","sports"
"48","@newstylebarbers @jnellis35 I credited you yesterday. Sorry it got left off today.","sports"
"49","People at ComicCon in NYC today got bottles of Pepsi Perfect #BackToTheFutureII http://t.co/cL7AukkTkE","sports"
"50","Amazing sign at White Sox bar in Chicago (Instagram/Bisforball) http://t.co/dOLIy4ZLAb","sports"
"51","@ChrisWesseling would love to use their, just know every editor I've ever had would change it","sports"
"52","@ChrisWesseling a team is a collective noun that is singular. See below http://t.co/h90U0y6uHn","sports"
"53","@caleboverman whoops. I know that happens","sports"
"54","@Daoish8 thanks man","sports"
"55","@OMGtaylorswift9 decimal mess up. It's 0.3%. Thanks","sports"
"56","@bacarter49 was typing and not looking at keyboard and hit send.","sports"
"57","@bacarter49 holy typo.","sports"
"58","Ticket to Don Larsen's perfect game that happened in the World Series on this date in 1956 (via @btanen) http://t.co/gjuokz8lJE","sports"
"59","@ChrisWesseling its.","sports"
"60","The Dodgers gave one-year contracts to its managers -- Walter Alston &amp; Tommy Lasorda -- for 30 years from 1954-1983.","sports"
"61","Lasorda has his tombstone ready to go? No, not the pizza  https://t.co/yYXU5KQNYl","sports"
"62","@JimboSlice54 he didn't write anything","sports"
"63","@TGrace20 @caleboverman that's fine with me. Glad the world knows it's his picture. All I care about.","sports"
"64","Breathtaking shot in KC tonight from the lens of @caleboverman http://t.co/HyuEKj1ZX8","sports"
"65","@jonarens true if it's the exact same product. This is called the same thing but isn't really close","sports"
"66","@MGoldstick IPO plans in 2-3 years","sports"
"67","Details on DraftKings &amp; FanDuel class action lawsuit http://t.co/XeZjiTqhLL","sports"
"68","The first class action lawsuit against FanDuel &amp; DraftKings has been filed, according to @PPVSRB","sports"
"69","@MGoldstick he owns more than 10% of the company. Valuation by next year should be in the $300M range.","sports"
"70","@MGoldstick what would you chose if you already had made $300M plus. $4M guaranteed or chance to make $100M more?","sports"
"71","@Ewat20 today? 2 stories written, 3 interviews for those stories and 2 radio interviews.","sports"
"72","Northwestern not only has the nation's top scoring defense, they also have the country's best dancers http://t.co/XIJQXFLZcJ","sports"
"73","@PierreGarcon you have a place near NYC or in NJ?","sports"
"74","@TobiasVaughn the major league.","sports"
"75","The Blue Jays MLB high payroll in 1993 was an inflation adjusted $85M. They're at $138M this year &amp; are 10th in league.","sports"
"76","More than 25% of Toronto's population wasn't living when Joe Carter hit that home run.","sports"
"77","Crazy BBQ lunch @FortGansevoort in meat packing district in NYC http://t.co/kvHEmYeBHq","sports"
"78","@916Sports and almost none on the east coast. Very California heavy","sports"
