"","user","type"
"1","Prof #Rogoff on the “right diagnosis of the ailing global #economy ,” including interaction between #growth &amp; #debt  http://t.co/EAmJ289XVJ","business"
"2","Re next week’s US #economic data releases: @WSJ on what to look for.  http://t.co/6jPeDDWAya   #economy #markets http://t.co/5etR8ZBP8V","business"
"3","Good morning. FYI, here’s the link to the @NYTimes @AdamMGrant article on “the #meditation evangelists” http://t.co/Hem82u7HZo #mindfulness","business"
"4","What a great #Mets - #Dodgers game. A wonderful win for the @Mets &amp; a superb performance by Jacob #deGrom .  #LetsGoMets @MLB #playoffs #LGM","business"
"5","FYI @FT @GillianTett on #Syria, @IanBremmer G-Zero,&amp; ""the horrific challenge that haunts our modern political stage"" http://t.co/Msf71ZKaXI","business"
"6","Emotional tug of war for us long-suffering @Mets fans: Excited about being in #playoffs and anxious about all that can go wrong! #LetsGoMets","business"
"7","FYI, @FT @RobinWigg on the #dollar, its prospects and the #economic implications.  http://t.co/ZLloTUsLCz #economy http://t.co/OqDuTMPyV6","business"
"8","Good morning. FYI, here are the more detailed results of the latest @WSJ survey of economists http://t.co/h3dEQKWOGS  #economy #markets #fx","business"
"9","FYI,link to the just-released minutes of the September @FederalReserve meeting. Note references to global influences http://t.co/3clOt7EauI","business"
"10","FYI, re #investing in the midst of heightened #volatility in #markets : here are 6 considerations for #investors @BV http://t.co/u96vPraTum","business"
"11","As for the minutes of the @FederalReserve that will be released today, here’s the @WSJ on the 5 things to look for.  http://t.co/wQdpmVvJAl","business"
"12","Good morning.  FYI, here’s the link to the @ECB “account of the monetary policy meeting” of early September http://t.co/lAZwZzGSnq #economy","business"
"13","FYI, @FT interview with RBI governor Raghu #Rajan   #India #IMF #Economy #AnnualMeeting2015 #markets #volatility http://t.co/baXoxdVFEZ","business"
"14","Arguing “we are in a new macroeconomic epoch,” @LHSummers on the state of the global #economy &amp; policy implications. http://t.co/mCsryKAuTL","business"
"15","H/T @SaraEisen :Summary of new #IMF report. Speaks to legacy issues in advanced economies &amp; higher risks in emerging https://t.co/EjnBsk9fg6","business"
"16","FYI, @WSJ on shifts in holdings of #UST and what it tells us about the global #economy http://t.co/k0vupzTYgF #debt http://t.co/HDMVr5B7UT","business"
"17","This morning’s conversation with @MariaBartiromo on @FoxBusiness :the global #economy @FederalReserve and #investing http://t.co/o0seti7yOu","business"
"18","FYI, @FT @MartinWolf :“We have become addicted to market liquidity.But it is too fragile &amp; perverse in its effects”  http://t.co/JhaAwc1NxF","business"
"19","FYI,here’s the video clip of the conversation with @Serwer on @yahoofinance - #economy #markets &amp; #volatility http://t.co/BmoAeN0aya @yahoo","business"
"20","FYI, link to the summary of the updated global economic projections from the #IMF http://t.co/XvA2bMrYO7 @IMFNews http://t.co/hOmehyw89m","business"
"21","With #IMF - @WorldBank meetings about to start in #Peru , look for official #economic announcements from them &amp; various G’s in next few days","business"
"22","Good morning. ICYMI,the @WSJ assesses the impact of #activist #investors on #companies http://t.co/SanSgiWObC #activism #investment #stocks","business"
"23","FYI, audio clip of this morning’s conversation with @TomKeene and @Mckonomy on @BSurveillance  http://t.co/jVN7f5zFk8  @business #Bloomberg","business"
"24","It matters a great deal to #markets how institutional #investors respond to higher #volatility – here’s why:  http://t.co/f0bqNU76wz  @FT","business"
"25","Good morning. FYI, @BenBernanke on the “exceptional monetary policy” of @FederalReserve (his book is out today) http://t.co/z26CY2HCaB @WSJ","business"
"26","While I hate second guessing the @NYJets play calling, it seems strange. Getting typically -- #Jets fan – anxious. Can they hold on???? @NFL","business"
"27","Good morning.For an early morning person,starting the day with a 6:30 ish @NYJets kick off is a dream come true…provided the #Jets win. @NFL","business"
"28","FYI, writing in the @FT, @johnauthers looks at (what he calls) the the“shattered assumptions” of financial #markets  http://t.co/S5wbC2K1Gl","business"
"29","Good morning. ICYMI,here's the link to @StevePearlstein column in @washingtonpost on Olivier Blanchard - A class act http://t.co/G0GxOuiYi3","business"
"30","FYI, a clip from this morning’s conversation with @BettyWLiu on @BloombergTV : #jobs #FederalReserve #markets  http://t.co/hM31pdhFa3","business"
"31","FYI, potential implications of a comprehensively-disappointing #jobs report. @BV #economy #FederalReserve #markets http://t.co/Il9uFnftz9","business"
"32","Post #jobs data, #markets push back path of rate hikes.But this is of no comfort to stocks/commodities facing poss of bigger global slowing.","business"
"33","Disappointing #jobs report. Reduces probability of an October @FederalReserve rate hike; and makes #markets wonder about US economic slowing","business"
"34","Good morning. The @WSJ on the 5 things to watch in today’s #jobs report http://t.co/9jdnCqZDmv #economy #employment http://t.co/lg3PmBDFSH","business"
"35","(3/3): And the final clip from the @HalftimeReport is on the @FederalReserve @ECB #fx and #EM https://t.co/obO9fMJBCy @cnbc @ScottWapnerCNBC","business"
"36","(2/3): This 2nd @CNBC @HalftimeReport clip is on the #investment implications of higher #volatility in #markets   https://t.co/AoOU5QNFif","business"
"37","FYI (1/3): Clip from today’s @HalftimeReport with @ScottWapnerCNBC responding to a question on @Carl_C_Icahn warning https://t.co/XQli1wFQLY","business"
"38","Here's the link to the @LeanIn - @McKinsey study on #women in the #workplace ,as well as other information http://t.co/8KvrWpLFVg #inclusion","business"
"39","“When women get stuck, corporate America gets stuck:” @SherylSandberg @WSJ based on new rsrch http://t.co/OffNQ6w0bw http://t.co/VqjrvgF6DT","business"
"40","Good morning. FYI, the @WSJ on the “rough” 3rd quarter for financial #markets http://t.co/K3vcC6aaRS  #investing #fx http://t.co/I60BC3jm8S","business"
"41","FYI, #IMF sees “disappointing and uneven” global #growth : Further slowdown in #EM to offset US pick up. @FT @IMFNews http://t.co/VArVm8bMRC","business"
