"","user","type"
"1","California is about to enact the strictest law yet on antibiotic use in farms:  http://t.co/zadAP8vmPe","politics"
"2","Donald Trump's tweets this week, rated from 1 to 5 Trumps: http://t.co/r4sNcXzR9W","politics"
"3","It's not your imagination: Nickelodeon shows got worse throughout the 90s http://t.co/jT2GGaStoA","politics"
"4","Great insight on the way the conservative movement’s anti-party politics has rendered the job of speaker miserable: http://t.co/mKYUySbs62","politics"
"5","Such a Canadian cliche https://t.co/HzLDLlCk22","politics"
"6","2 school shootings in a day is shocking. But there are 92 gun deaths on average each day.  http://t.co/iiBx2BnU99","politics"
"7","This week's podcast: could single-payer health care work in the United States?  http://t.co/QjnjuQc8W2","politics"
"8","This week on “What’s Up with Lincoln Chafee”: Last month, 0.0%. Now: 0.2%. Soon: 100%! http://t.co/utCayyOhgZ","politics"
"9","I think the House Freedom Caucus needs a better name, like ""The Speaker Hunters"": http://t.co/eap9Ah97f7","politics"
"10","There's a rules-based explanation for why the House GOP has become such a shitshow: http://t.co/yjjq4EByrM","politics"
"11","""I've never been so disgusted by my own data,"" says author of study showing reactions to “black-sounding” names: http://t.co/NTAxyqZ9sM","politics"
"12","The affair allegations that derailed Kevin McCarthy's quest for the speakership, explained: http://t.co/qpIsygjYOC","politics"
"13","Compelling argument that the problem with the Galactic Republic was the role of the Jedi: http://t.co/Eiva4iXWJ5","politics"
"14","You would enjoy the latest edition of our podcast! https://t.co/Ip7GkBwQ6n https://t.co/sGApf04cOM","politics"
"15",".@VoxDotCom is looking for a 2016 campaign writing fellow: http://t.co/Jz23LLxQio","politics"
"16","How a team of prison inmates beat Harvard at a debate: http://t.co/uoySRJvdoj","politics"
"17","Democratic congressman creates Craigslist ad for speaker of the House position: http://t.co/tYuO7xXgfh","politics"
"18","""I've never been so disgusted by my own data,"" says author of study showing reactions to “black-sounding” names: http://t.co/NTAxyrgKRm","politics"
"19","Would love to know what Boehner said to Ryan. ""I clearly hated this job. I am fleeing this building. But you — you're gonna love it!""","politics"
"20","The House Republican leadership crisis, explained: http://t.co/nkhwwV0OF4","politics"
"21","Tanned. Rested. Ready. Romney.  http://t.co/TjS3DHNRm0","politics"
"22","There's a rules-based explanation for why the House GOP has become such a shitshow: http://t.co/yjjq4ET9Qm","politics"
"23","Mitt Romney specialized in turning around failing organizations. He should be speaker. http://t.co/2CBbN4UefU","politics"
"24","This is a very good financial reform plan form Hillary Clinton: http://t.co/9iA4U80MwS","politics"
"25","Paul Ryan doesn't want to be speaker of the House. Republicans should elect him anyway: http://t.co/GTV1GhRh1w","politics"
"26","The House Republican leadership crisis, explained: http://t.co/nkhwwV0OF4","politics"
"27","This is the brokered convention of congressional politics: http://t.co/mYWOpSdo99","politics"
"28","That actually is pretty funny: http://t.co/Ig0quDCkt0 http://t.co/tWleRSLi1q","politics"
"29","Why speaker of the House is the worst job in Washington: http://t.co/lObFxVzaox","politics"
"30","Read @dylanmatt on the idea that there huge swaths of the country avoid paying taxes: http://t.co/vMUd5si1ZN http://t.co/xNKPynwnDV","politics"
"31","@binarybits @alpert @mattyglesias Hot take: there is absolutely no way American democracy can survive the heat death of the universe","politics"
"32","Rupert Murdoch thinks Obama’s critics from the black left would prefer Ben Carson. Um...  http://t.co/H5UP7qxoyI","politics"
"33","What bike commuting looks like in 12 major cities: http://t.co/m4KPwKwhE9","politics"
"34","The average Indian is about as rich today as the average American was in 1881: http://t.co/6f8ABxcMOH","politics"
"35","Did not expect that the politician the Select Committee on Benghazi would utlimately take down would be...Kevin McCarthy","politics"
"36","Kevin McCarthy pulls out of speaker race, throws GOP into chaos: http://t.co/c6BmBmdEbW","politics"
"37","Republicans need Paul Ryan to run for speaker: http://t.co/GTV1Gi8RT4","politics"
"38","Going to reup my theory of how politics is changing given this McCarthy news...insiders do not see a bright future: http://t.co/dCfTvURVwy","politics"
"39","@jonathanchait One of my dogs pooped on a doormat today after waking me up by vomiting at 5am. I may fire her like an Erick Erickson.","politics"
"40","@jonathanchait CUTS A BIT TOO CLOSE TO HOME, JON","politics"
"41","Who fires dogs?  https://t.co/Pn4K9xIy8w","politics"
"42","Why Clinton's  TPP opposition unnerves me: http://t.co/nvt3XGYOzq","politics"
"43","This graphic showing which countries are richer today than America was in the 1800s is nuts:  http://t.co/wBxtCv2pjf","politics"
"44","The Myers-Briggs test is total bullshit: http://t.co/BEdiQ11DxJ","politics"
"45","It it worth taking probiotics? Here's what the science says: http://t.co/KjdcGxOWDY","politics"
"46","Bobby Jindal's tax plan is just....whoa.  http://t.co/X68Mghi7Dg","politics"
"47","Why Clinton’s TPP opposition unnerves me http://t.co/9XmSgcgdFw","politics"
"48","The Last Testament of @dick_nixon: http://t.co/nOzWnGwshH","politics"
"49","Pretty much: http://t.co/jOjDfaX4cS http://t.co/NwvBqXMsg1","politics"
"50","Hillary Clinton's flip-flop on the TPP makes no sense: http://t.co/8mT1KGU5jX","politics"
"51","Love these probability drawings from @BenOrlin: http://t.co/VPiwPrKldl","politics"
"52","What the Nobel prize in chemistry was awarded for, explained: http://t.co/hlV5m4R7Dx","politics"
"53","Vox is looking for a staff writer in our culture section...come work with @tvoti and explain all the stuff! http://t.co/0BIRE7fe1f","politics"
"54","Google has a new plan to speed up the mobile web: http://t.co/MMs9p0fZ7p","politics"
"55","This is such a beautiful video by @joeposner: https://t.co/5lw4XutA32","politics"
"56","1 in 6 Americans now live in a state where physician-assisted suicide is legal: http://t.co/Ss2x2QYerp","politics"
"57","Everyone is a hero when the mass shooting is only taking place in their imagination: http://t.co/nH6AEtJNtt","politics"
"58","Why the World Bank is changing its definition of the word ""poor"": http://t.co/AxqLfOhWp2","politics"
"59","Paul Farmer on Ebola. Self-recommending, as @tylercowen would say: http://t.co/4Qq1XzWf4P","politics"
