"","user","type"
"1","See by Chloé Spring 2016 Ready-to-Wear Collection ","fashion"
"2","Emma Watson looked casually cool while out with a mystery guy: ","fashion"
"3","The 'Pride and Prejudice and Zombies' Trailer Is Here...and It's Awesome ","fashion"
"4","5 real women confess why they cheated on their husbands: ","fashion"
"5","Moncler Gamme Rouge Spring 2016 Ready-to-Wear Collection ","fashion"
"6","You will not BELIEVE who almost played Blair and Serena in 'Gossip Girl': ","fashion"
"7","There Might Be an R-Rated Version of Instagram Coming Soon ","fashion"
"8","The scientific reason you might need to opt out of hookup culture: ","fashion"
"9","Vika Gazinskaya Spring 2016 Ready-to-Wear Collection ","fashion"
"10","Here are your first photos of a VERY pregnant Bridget Jones: ","fashion"
"11","Noooo: Netflix Is Raising Prices ","fashion"
"12","7 Halloween costumes you can pull off with just a trip to the drugstore: ","fashion"
"13","Esteban Cortazar Spring 2016 Ready-To-Wear Collection ","fashion"
"14","Kendall Jenner looks like a futuristic princess in a very short, shiny skirt &amp; killer booties: ","fashion"
"15",".@NikkiReed_I_Am has a new diet...for your mind: ","fashion"
"16","Christian Wijnants Spring 2016 Ready-to-Wear Collection ","fashion"
"17","Here's a NEW Beyoncé and Drake collab you must immediately listen to: ","fashion"
"18","The bottom of Zendaya's dress is actually shocking: ","fashion"
"19","Forget silicone and saline, THIS is the hot new breast implant: ","fashion"
"20","See by Chloé Spring 2016 Ready-to-Wear Collection ","fashion"
"21","""Here's what happened when I lived like @KylieJenner for a week"": ","fashion"
"22","Moncler Gamme Rouge Spring 2016 Ready-to-Wear Collection ","fashion"
"23","Nicki Minaj explains what led to that ""What's good, Miley"" moment at the VMAs: ","fashion"
"24","American Apparel has filed for bankruptcy. What does this mean for the company? ","fashion"
"25","Vika Gazinskaya Spring 2016 Ready-to-Wear Collection ","fashion"
"26","5 Instagram accounts that @karliekloss thinks you should follow: ","fashion"
"27","Kylie Jenner's secret makeup trick will blow your mind: ","fashion"
