"","user","type"
"1","Donald Trump's biggest fan explains her admiration https://t.co/x6vNQOkfJl via @TeamCavuto","politics"
"2",".@GovMikeHuckabee touring the southern border https://t.co/lzlTmGmmUY via @oreillyfactor","politics"
"3","US #cybersecurity sprint slows to a stroll following huge data breach | http://t.co/709H3DEx3Z  via @GeorgeRussell http://t.co/Y3lxVleW1f","politics"
"4","House conservatives flex muscle in speaker race – but what do they want? http://t.co/ENpVfr7WAG via @KelleyBVlahos http://t.co/mRluYQGK2p","politics"
"5","House votes to lift 40-year-old ban on US crude oil exports  http://t.co/XCuPKoCG2c #FNPolitics http://t.co/2QRswtdWIy","politics"
"6",".@RepPaulRyan rebuffs growing appeals to run for speaker, Issa weighs bid  http://t.co/DvNT6pf6Rx http://t.co/qC8gujvKkC","politics"
"7",".@POTUS reportedly considering executive action on gun control  http://t.co/w79d6iOGyX #FNPolitics http://t.co/aa7lSte6ip","politics"
"8",".@RealBenCarson's campaign manager blasts profane GQ article  http://t.co/299KU4e9fZ #FNPolitics http://t.co/6eBtdH7bpv","politics"
"9","New Jersey goes to court to seize beach lots for dunes  http://t.co/iFSihaV3JB #FNPolitics http://t.co/roSrlPv8S4","politics"
"10",".@realDonaldTrump says Bowe Bergdahl should have been executed  http://t.co/s1THuQGwZb http://t.co/5TaKEcwrWS","politics"
"11","House conservatives flex muscle in speaker race – but what do they want? http://t.co/ENpVfrpxZg via @KelleyBVlahos http://t.co/0YlzFNqyVT","politics"
"12","House votes to lift 40-year-old ban on US crude oil exports  http://t.co/XCuPKol5aE #FNPolitics http://t.co/IXeO8z4LRJ","politics"
"13",".@RepPaulRyan rebuffs growing appeals to run for speaker, Issa weighs bid  http://t.co/DvNT6oXvZZ http://t.co/0vnwW53dog","politics"
"14","FOX NEWS FIRST: Republicans regroup around push for Ryan  http://t.co/507DvPw37D VIA @ChrisStirewalt http://t.co/CbNoSKyAju","politics"
"15","BREAKING: House OKs lifting 40-year-old US ban on crude oil exports  http://t.co/XCuPKol5aE","politics"
"16",".@POTUS reportedly considering executive action on gun control  http://t.co/w79d6j6hXx #FNPolitics http://t.co/H1AhYA4wyZ","politics"
"17",".@RealBenCarson's campaign manager blasts profane GQ article  http://t.co/299KU4e9fZ #FNPolitics http://t.co/k1i7sxOhPn","politics"
"18","Feds probe VA for new violations in whistleblower smear campaign  http://t.co/4hcIuyVzrJ via @Watchdogorg","politics"
"19","New Jersey goes to court to seize beach lots for dunes  http://t.co/iFSihaDsS3 #FNPolitics http://t.co/AV7DBGdVvv","politics"
"20",".@realDonaldTrump says Bowe Bergdahl should have been executed  http://t.co/s1THuQY8nL http://t.co/Y82boSCQnR","politics"
"21","EXCLUSIVE: U.S. officials conclude #IranDeal violates federal law  http://t.co/HABkNst3du via @JamesRosenFNC http://t.co/d9JaW6tnz2","politics"
"22","Obama administration ending Syria rebel training program, official says http://t.co/Z8Tj2wq724","politics"
"23","KURTZ: Haunting @HillaryClinton : Why the email story is spinning out of control http://t.co/wr0rGl14uL @HowardKurtz","politics"
"24",".@TGowdySC says emails show Clinton confidant naming CIA source, pushing Libya interests  http://t.co/PzzBFA4Dqw http://t.co/K8F3QjevK9","politics"
"25","EXCLUSIVE: U.S. officials conclude #IranDeal violates federal law  http://t.co/pItLrxj4mI via @JamesRosenFNC","politics"
"26","US cybersecurity sprint slows to a stroll following huge data breach  via @GeorgeRussell http://t.co/709H3DW7Vx","politics"
"27",".@TGowdySC says new emails show #Clinton confidant naming CIA source, pushing Libya interests http://t.co/PzzBFAmeP6 http://t.co/fq9yWLRK2p","politics"
"28","Republicans fuming after @POTUS threatens to veto major energy bill  http://t.co/VJrE3ZKkQv via @AdamShawNY http://t.co/2hLnoeClPl","politics"
"29","If not McCarthy, who? Republicans scramble for speaker pick after drop-out  http://t.co/HLP8oUvNNY #FNPolitics http://t.co/CbPTpIyzAZ","politics"
"30","Volkswagen's US CEO apologizes for emissions rigging scandal  http://t.co/eEDQxdbXt4 #FNPolitics http://t.co/8S7pNj8hCB","politics"
"31",".@HillaryClinton ad accuses GOP of using #Benghazi for political gain http://t.co/PmH1CUG7cu","politics"
"32",".@TGowdySC says emails show Clinton confidant naming CIA source, pushing Libya interests  http://t.co/PzzBFAmeP6 http://t.co/gdGYoTjEYv","politics"
"33","EXCLUSIVE: U.S. officials conclude #IranDeal violates federal law  http://t.co/pItLrxAFLi via @JamesRosenFNC","politics"
"34","US cybersecurity sprint slows to a stroll following huge data breach  via @GeorgeRussell http://t.co/709H3DEx3Z","politics"
"35","Republicans fuming after @POTUS threatens to veto major energy bill  http://t.co/VJrE3ZsJYX via @AdamShawNY http://t.co/DAV3M2p5V1","politics"
"36","Rep. Dan Webster on his agenda for House speaker. #FNPolitics http://t.co/hi3eT5a4mU","politics"
"37","Rep. Jason Chaffetz reacts to Kevin McCarthy's decision to drop out of the race for House speaker. #FNPolitics http://t.co/xIyTa9zqgW","politics"
"38","If not McCarthy, who? Republicans scramble for speaker pick after drop-out  http://t.co/HLP8oUNpcy #FNPolitics http://t.co/C2HSKHDuUZ","politics"
"39",".@SpeakerBoehner: ""I will serve as Speaker until the House votes to elect a new Speaker."" http://t.co/TtKN6JEzIU","politics"
"40","McCarthy on if his Benghazi comments played a role in his decision to drop out of the race for House speaker http://t.co/PRXQDmk0Dw","politics"
"41","McCarthy: 'I’ll stay on as majority leader' http://t.co/TtKN6JmYkk","politics"
"42","McCarthy on decision to drop out of speaker race: 'For us to unite, we probably need a fresh face' http://t.co/TtKN6JmYkk","politics"
"43","Fox News is told McCarthy simply said it was not his time. http://t.co/TtKN6JmYkk","politics"
"44","DEVELOPING: Kevin McCarthy drops out of race for House speaker http://t.co/XbMBKvixiC","politics"
"45","BREAKING: Rep. Kevin McCarthy drops out of race for House Speaker; election postponed","politics"
"46","FOX NEWS FIRST: So, um, congratulations, Mr. Speaker-elect?  http://t.co/05UyZRJ6b9 VIA @ChrisStirewalt http://t.co/jXH5NYg5Xo","politics"
"47","Volkswagen's US CEO apologizes for emissions rigging scandal  http://t.co/eEDQxdbXt4 #FNPolitics http://t.co/p2S2hcBjYg","politics"
"48",".@megynkelly: Swing-state polls show @HillaryClinton is the least honest candidate. DETAILS: http://t.co/prfV0FGucd http://t.co/tD9cbuNEct","politics"
"49",".@HillaryClinton ad accuses GOP of using #Benghazi for political gain http://t.co/PmH1CUowkW","politics"
"50","CAPITOL ATTITUDE: Could speaker vote deadlock force @SpeakerBoehner to stick around? http://t.co/YIU0dBOt5x @ChadPergram #FNPolitics","politics"
"51","KURTZ: Wonk TV: Can CNN’s Hillary-Bernie debate stir passions without personal attacks? http://t.co/uKMOrg9yoQ @HowardKurtz","politics"
"52","Trust deficit: Swing-state polls show @HillaryClinton seen as least honest candidate  http://t.co/j7RwQMCoPO http://t.co/l1WodwGrP8","politics"
"53","Drug inmates with long rap sheets among those freed early  http://t.co/BBELSGWpV4 #FNPolitics http://t.co/kzS31guTD7","politics"
"54","FBI probe of @HillaryClinton emails expands to second tech company  http://t.co/y6h4GB74ER via @edhenry http://t.co/cw7pbWYaH8","politics"
"55",".@POTUS apologizes to aid group for US attack on Afghan clinic  http://t.co/0g8CtTx2vS","politics"
"56","@TGowdySC on McCarthy's comments: 'Kevin screwed up'  http://t.co/7dTQccf3Aj #FNPolitics http://t.co/97LoOJblQp","politics"
"57",".@POTUS’s refugee resettlement plan could stir battle with states  http://t.co/KUqg0qbCgx #FNPolitics http://t.co/w0XEX89BFb","politics"
"58","BREAKING: @HillaryClinton opposes Pacific Rim trade deal  http://t.co/WtxdyppE9h","politics"
"59","Senate OKs massive defense bill under veto threat http://t.co/AVFfz2grnM","politics"
"60",".@Jaysekulow on the @HillaryClinton email scandal: ""There is not a history of anything like this, done this way."" http://t.co/EainiJEo3n","politics"
"61","Drug inmates with long rap sheets among those freed early  http://t.co/BBELSHe1jE #FNPolitics http://t.co/rqXeuZyj2D","politics"
"62","FBI probe of @HillaryClinton emails expands to second tech company  http://t.co/y6h4GBoG3r via @edhenry http://t.co/sSAsLTp6Pd","politics"
"63","Emails show Qaddafi son wanted talks – Clinton told general not to take call, source says  http://t.co/jn3twN1mOx http://t.co/lIkx8NvAfB","politics"
"64","Amid email scandal, swing-state polls show @HillaryClinton seen as least honest candidate  http://t.co/j7RwQMU0eo http://t.co/CE0p1Mir77","politics"
"65","BREAKING: @POTUS apologizes to aid group for US attack on Afghan clinic  http://t.co/0g8CtTfrEk","politics"
"66","Trust deficit: Swing-state polls show @HillaryClinton seen as least honest candidate  http://t.co/j7RwQMU0eo http://t.co/wJck9pBbFn","politics"
"67","FOX NEWS FIRST: Digital dragnet closing in on @HillaryClinton emails  http://t.co/zzNm9EBHk1 VIA @ChrisStirewalt","politics"
"68",".@edhenry on the significance of the latest @HillaryClinton email developments. #FNPolitics http://t.co/KogzO6DNfD","politics"
"69","@TGowdySC on McCarthy's comments: 'Kevin screwed up'  http://t.co/7dTQccwEYT #FNPolitics http://t.co/ORbUxXtM3d","politics"
"70",".@JoeTrippi on reports @HillaryClinton's campaign is conducting opposition research on @JoeBiden #FNPolitics http://t.co/7Mq3q42Vjw","politics"
"71","Emails show Qaddafi son wanted talks – Clinton told general not to take call, source says  http://t.co/jn3twN1mOx http://t.co/ofRWel5s7k","politics"
"72",".@POTUS’s refugee resettlement plan could stir battle with states  http://t.co/KUqg0qbCgx #FNPolitics http://t.co/0OXm96Jfqb","politics"
"73",".@HillaryClinton says she's sent her book to GOP candidates  http://t.co/2oSg7YBURl http://t.co/1XDfQ4pXMa","politics"
"74","Illegal wind turbine leaves green energy entrepreneur spinning in jail  http://t.co/suWD1o2Hu0 via @maximlott http://t.co/koYoKgqFca","politics"
"75","Senate Dems plot new gun control legislation  http://t.co/HevdPrUlMj via @dcexaminer","politics"
"76","FBI seizes four State Department servers in @HillaryClinton email probe  http://t.co/AqljbMcaUO via @FreeBeacon http://t.co/ti3yqqAh7m","politics"
"77","Pro-@JoeBiden super PAC launches first TV ad, urging 2016 run  http://t.co/dVkkpML7PE #FNPolitics http://t.co/zjTPHglYOF","politics"
"78","FBI probe of @HillaryClinton emails expands to second tech company  http://t.co/y6h4GB74ER via @edhenry http://t.co/8U6i6GAt10","politics"
"79","Ukraine parallels seen in Russia's Syria push, @POTUS under pressure  http://t.co/kFT5fA6RPW via @AdamShawNY http://t.co/huMMWcpeCt","politics"
"80","Will Joe go? The @JoeBiden speculation machine spins out of control http://t.co/AvDVVKkW1G @HowardKurtz #FNPolitics","politics"
"81","Amtrak warns of service cuts if Congress doesn’t extend safety deadline  http://t.co/xMb4Oyl7r5 #FNPolitics http://t.co/GQ4o9ZuDYe","politics"
"82","FAA proposes nearly $2 million fine against drone operator  http://t.co/6czlpsYCV1 #FNPolitics","politics"
"83",".@JoeBiden reportedly shared details on dying son’s wish he run for president  http://t.co/lCf2AHpbnk #FNPolitics http://t.co/qMTFudOTaq","politics"
"84","American Federation of Teachers union spends $37M on politics  http://t.co/oqvyTYdjgv via @Watchdogorg","politics"
"85","Ukraine parallels seen in Russia's Syria push, @POTUS under pressure to do more  http://t.co/kFT5fzPgrm #FNPolitics http://t.co/mUcRM7HGu6","politics"
"86","US deports fewest immigrants in nearly a decade http://t.co/BHzmLewYIT #FNPolitics http://t.co/qt1dCq8Xnx","politics"
"87","Workers remove Ten Commandments monument from Oklahoma Capitol grounds  http://t.co/ZHkz6NR0BK http://t.co/CJX7owMsIX","politics"
"88","State Department pressing @HillaryClinton lawyer over email gap http://t.co/kQt69xZEWm @edhenry","politics"
"89","Amtrak warns of service cuts if Congress doesn’t extend safety deadline  http://t.co/xMb4OyCIPF #FNPolitics http://t.co/OTq55p74tb","politics"
"90","Correction from White House: DOJ not investigating US airstrike on Afghan hospital http://t.co/06RSghYcX1","politics"
"91","BREAKING: White House: DOJ investigating US airstrike on Afghan hospital  http://t.co/06RSghYcX1","politics"
"92","FAA proposes nearly $2 million fine against drone operator  http://t.co/6czlpsH23t #FNPolitics","politics"
"93","FOX NEWS FIRST: @HillaryClinton hopes to beat the rap on a technicality  http://t.co/AfyiMiYcy7 via @ChrisStirewalt #FNPolitics","politics"
"94",".@JoeBiden reportedly shared details on dying son’s wish he run for president  http://t.co/lCf2AHGMLU #FNPolitics http://t.co/O7rIl3088H","politics"
