"","user","type"
"1","Today @SocialEnt_UK &amp; @cabinetofficeuk celebrate #SocialSaturday2015 small changes make a big difference #buysocial http://t.co/KopBb6TuBy","food"
"2","top posts from #JamiesSuperFood this week get involved and inspire each other! http://t.co/hy5BsOKdqX http://t.co/hKjQopRcap","food"
"3","#Recipeoftheday Super-tasty miso broth with chicken, mushrooms &amp; wild rice #JamiesSuperFood http://t.co/sjaCKVejPc http://t.co/6SXdM7h9SF","food"
"4","@KatStorrSky brilliant!! Keep the pics coming. J x","food"
"5","@KatStorrSky Ì†ΩÌ±èÌ†ºÌøΩÌ†ΩÌ±èÌ†ºÌøΩ","food"
"6","@MOFRotherham Happy 1st birthday guys! Big love to the team x Jamie","food"
"7","#Recipeoftheday Refried lentils with eggs, salsa from the latest issue of @JamieMagazine
http://t.co/ghUbJ4Tt2D http://t.co/jR2ABWBG4i","food"
"8","Morning folks ..... Office for the next week. @ Southend-on-Sea https://t.co/btrP3Dl1FU","food"
"9","Help spark creativity in kids around the world! Join the 2015 Global #CardboardChallenge: http://t.co/MUhYKHuaRD http://t.co/lOY2fU39p2","food"
"10","#Recipeoftheday is a lovely autumn pasta bake with roasted butternut squash &amp; ricotta  http://t.co/blv2cdrt8V http://t.co/6woQmNM183","food"
"11","7 hours in the oven good things will happen .... TIME is the best ingredient https://t.co/EZ2JvT9OlY","food"
"12","Me and my camra crew top boys new season of Friday night feasts cooking up a storm amazing light this AM https://t.co/Fv6c7JL0Hq","food"
"13","#recipeoftheday from @Jools_oliver_  over on #FamilyFoodTube simple cookies for kids https://t.co/O1X4jfSxzW","food"
"14",".@frenchguycooking proves why food isn't boring!.. yeahh let's go slow-mo. More of this over on his YouTube channel!
https://t.co/36xQHB1Hjn","food"
"15","Get voting everyone! https://t.co/z6Xl8n8yoy","food"
"16","Morning @ChrisMoyles @RadioX loving the new radio show boy make sure you get a good breakfast Ì†ΩÌ∏ÄI'm driving to Southend Friday night feasts","food"
"17","We should be feeding our kids fresh, home cooked food. @ChefAnnFnd! #realschoolfood http://t.co/jsS2WBZBNS http://t.co/IK4JVQrpKT","food"
"18","#Recipeoftheday Mighty mackerel with tomato &amp; quinoa salad. Super quick &amp; nutritious! http://t.co/Mtfc7K8nfv http://t.co/sw0eR7ym5X","food"
"19","@makemineavodka Ì†ΩÌ∏Ç","food"
