"","user","type"
"1","The little known subtitle to the Spike Lee masterpiece. https://t.co/opedRZS0mF","food"
"2","One of my fave illustrations by Jillian Rahn for #eatymology: ""barista wrist"" (cafe-borne repetitive motion injuriy). http://t.co/Khu7bszSOi","food"
"3","Scouring the Web to Make New Words ‘Lookupable’ http://t.co/zhShFOZxzN","food"
"4","This pizza truck on #PartsUnknown reminds me so much of ""La Pizzamobile"" we ate at in Huahine, French Polynesia. https://t.co/8tIMLPKDxh","food"
"5","""Oatmeal Latte"": Steamed milk blended with oats + a double shot of espresso http://t.co/VTY78JwzUo","food"
"6","""Groceraunt"": Business that combines a grocery store with a restaurant. http://t.co/byj3JxI3ed","food"
"7","Hygge: The Danish art of cozy. http://t.co/nzEZgl1VZd","food"
"8","I created a Facebook page for my upcoming book Eatymology, and I think it broke Facebook. Serves me right.","food"
"9","Love a good @ruthreichl outdoor shower tweet, especially with bonus deer appearance.","food"
"10","Hear me talk with about kokumi, sourdough hotels, and lexical gustatory synesthesia on @kcrw's ""Good Food"": http://t.co/g79aJXdgjP","food"
"11","@gastropoda Thanks Regina!","food"
"12","And even a blog…do you know about ""cuisinomane,"" Quebec's defense against the intrusion of the word ""foodie""? http://t.co/YwYixhjuKd","food"
"13","There's a whole page all about my upcoming book Eatymology: http://t.co/hA1Dhlq9QK","food"
"14","I've finally updated my personal website with a completely new design and more info about my work: http://t.co/DZO8AkdD8U","food"
"15","Here's the final cover design for EATYMOLOGY featuring the illustration for ""cowpooling"" #eatymology http://t.co/Y3WZ5xBm8Z","food"
"16","I gave her my book so I'm hoping the word ""gastrosexual"" makes its way into the next season of Girls.","food"
"17","Met @lenadunham after taping an interview with @evankleiman for Good Food. She was very cool and down to earth in person.","food"
"18","Is your guilt enough? What does it all mean? @ Cata https://t.co/s8Azl5hvbF","food"
"19","Strange turn of events for one of my favorite crackers. Love the Ak Maks. https://t.co/a6yvSaTaOD","food"
"20","Habaneros. #latergram @ South Orange Farmers Market https://t.co/5EVmWLqBFK","food"
"21","Featuring a (nice) tiny shout out to my/@ruthbourdain's analysis of food trend mapping: We Don't Need Another Cronut http://t.co/N93eNOMzAZ","food"
"22","Breaking: Starbucks is out of coffee. What does it all mean? https://t.co/ajIoGqSEbc","food"
"23","@andrewzimmern Thanks Andrew!","food"
"24","#nyccentury #early @ Central Park North – 110th Street https://t.co/W1RBo0uT2B","food"
"25","Curious what the food start-up is @bittman is leaving NYT to join.","food"
"26","@KELLYCHOI Thanks! Wait...why?","food"
"27","Listening now on @leonardlopate - ""Voracious: A Hungry Reader Cooks Her Way Through Great Books"" by  @caranicoletti http://t.co/sO2umdiv6g","food"
"28","""Aquaoir"": The impact of water on the aging of wine. http://t.co/8vV7hqnkFb via @Eater","food"
"29","#seaglasscarousel @ SeaGlass Carousel at The Battery https://t.co/JCHRnGip5u","food"
"30","Chicken of the woods mushrooms. @ South Orange Farmers Market https://t.co/BqmegZ4iFq","food"
"31","L.A. history as told through its menus: ""To Live and Dine in L.A."" @eater book review http://t.co/walzgCU9Cg","food"
"32","Coffee service getting tres Brooklyn up in here. #montreal @ L'Entre-Pots Café Traiteur https://t.co/4ZVU9vJHqG","food"
"33","@brindmeister Thanks! Not exactly sure (will find out), but it is up on amazon uk for preorder: http://t.co/7NcbuzzBwb","food"
"34","Speaking of which, Eatymology: The Dictionary of Modern Gastronomy, is available now for preorder: http://t.co/g6SgozH093 #eatymology","food"
