"","user","type"
"1","Painter Antoine Watteau, known for creating the ""fete galante"" genre, was born #OnThisDay in 1684 http://t.co/pozhVSqCVQ","arts"
"2","Don't miss our free Fall Open House on Monday, Oct12! All day free admission for everyone. http://t.co/xkmznscRau http://t.co/WfXLmN8jxG","arts"
"3","John Lennon was born #OnThisDay in 1940.  75 years later and we still can’t #imagine a world without his influence. http://t.co/cYHsz56jcZ","arts"
"4","An art class waiting to happen. Creativity in the midst of old masters (and mistresses). -MT #MatthewTeitelbaum http://t.co/JHEbfUP85T","arts"
"5","Awarded the #NobelPeacePrize in 1989, ""His Holiness The Dalai Lama, New York"" (1987, #HerbRitts) http://t.co/tVPcY1S4rT","arts"
"6","""Mother Teresa,"" winner of the #NobelPeacePrize in 1979, photographed by Yousuf Karsh in 1988 http://t.co/yU7BuBFQwE","arts"
"7","""Dr. Martin Luther King, Jr."" winner of the #NobelPeacePrize in 1964, by John Wilson (1985) http://t.co/s6h15Qy3yB","arts"
"8","In honor of the #NobelPeacePrize, here is ""Nelson Mandela, Johannesburg"" (1994) by #HerbRitts http://t.co/HilDLknS9H","arts"
"9","@megariana84 @PaulaEbbenWBZ aw shucks, thanks! We're just super fans like the rest of the city :)","arts"
"10","Don't poke the bear. #GoBruins #NHLBruins http://t.co/BjKY250ArC","arts"
"11","A 16-foot, 300-year-old scroll, ""The Death of the Historical Buddha,"" just unrolled in our Asian Conservation Studio! http://t.co/G5DF4EjcuT","arts"
"12","#DidYouKnow: #Rembrandt was just 33 when he painted this portrait of Andries de Graeff? #mfaDutch http://t.co/w8dRoQWKXM","arts"
"13","This week’s #FanFavorite goes to ericaancrum. Enter next week using #mfaBoston http://t.co/62DdzODKAY","arts"
"14","An accidental photograph. Not everything I do works out quite right. –MT #MatthewTeitelbaum http://t.co/f6rQ9pgG1J","arts"
"15","“Spring Interior"" (1927), Charles Sheeler. Part of the Lane Collection, on view in the Art of the Americas Wing http://t.co/wb9T6U1GFl","arts"
"16","Met w/ Decolonize our Museums. Talking. Thinking together. Putting it out there. It was great.-MT #MatthewTeitelbaum http://t.co/a3QlMiKwnF","arts"
"17","One of the experts working on conserving this beautiful altarpiece will speak today at 6, 6:30, and 7:15. http://t.co/I6BmvF4vkk","arts"
"18","This Monday is our annual Free Open House! Come check out the performance piece ""Hairdresser are my Heroes"" http://t.co/9oIJtpcjt8","arts"
"19","This Friday, the MFA’s resident ensemble,Vellumsound, debuts with an evening of music, visual art and poetry. http://t.co/NekRGAH7y1","arts"
"20","Princess Beatrix and MFA curator Ronni Baer. Walking through another world. Really looking. -MT #MatthewTeitelbaum http://t.co/jHArhcCciP","arts"
"21","#TriviaTuesday:What was the original purpose of this Chinese bronze statue, dating to the 4th-3rd century BC? http://t.co/RkdQB7iqem","arts"
"22","Today! Members can now preview “Class Distinctions: Dutch Painting in the Age of #Rembrandt and Vermeer” #mfaDutch http://t.co/RtwE2qHU3v","arts"
"23","Thanks to @HeatherUnruh and @WCVB for helping kick off “Class Distinctions” #mfaDutch","arts"
"24","Honored to welcome HRH Princess Beatrix of the Netherlands—the first to see  “Class Distinctions”  #mfaDutch http://t.co/KClTppV3U1","arts"
"25","The calm before the storm…getting ready for the opening reception for “Class Distinctions!” #mfaDutch http://t.co/bIf0gyVbRR","arts"
"26","Director #MatthewTeitelbaum &amp; curator Ronni Baer are 1st to step inside ""Street Musicians at the Door!"" #mfaDutch http://t.co/q0lN2XmdjB","arts"
"27","@zgburnett ""The Astronomer"" and ""A Lady Writing"" from October 11 through January 18, 2016. http://t.co/aU2sSfywWm","arts"
"28","For the first time, two works by Vermeer will be on view at the MFA! There are only 40 surviving works by the artist. http://t.co/CQgpUMOmMU","arts"
"29","#HappyBirthday to Jean-François Millet (1814-1875), who's artwork moved and inspired Van Gogh http://t.co/Zvc6U8G0nP","arts"
"30","@DoctorOctothorp @CookBooksBikes Yes, that's what it is! -MT","arts"
