"","user","type"
"1","I felt either @ShamitaShetty or #MohitMalik would win #JhalakReloaded: @faisalkofficial  ","movies"
"2","#JhalakReloaded: @faisalkofficial becomes the youngest contestant to win the title","movies"
"3","And the young gun prevails. Congratulations to Faisal for winning the #JhalakFinale","movies"
"4","The #JhalakFinale  reminds us why @shahidkapoor is one of Bollywood's finest dancers. His moves seem so effortless.","movies"
"5","All the acts are top notch. They justify the hype surrounding the #JhalakFinale","movies"
"6","The final showdown is upon us. The message is clear 'do or die' #JhalakFinale","movies"
"7","The 'Jhoota Dilaasa' gig was incredibly hilarious and witty #JhalakFinale","movies"
"8","Mohit Malik  has been eliminated from the #JhalakFinale","movies"
"9","Someone is going to be eliminated pretty soon. #JhalakFinale","movies"
"10","Kudos to Faisal for delivering a highly pulsating performance. #JhalakFinale","movies"
"11","The crackling chemistry between @shahidkapoor  and @aliaa08  has added new life  to the #JhalakFinale","movies"
"12","The 'Ishq Hoon' number does not do justice to Shamita Shetty's  energetic dance moves. #JhalakFinale","movies"
"13","Here's what's happening at #JhalakFinale. Don't miss#JhalakReloaded","movies"
"14","Who is your favourite finalist? Moreover, who do you think will win the #JhalakFinale ?","movies"
"15","The #JhalakFinale  kicks off in just a few seconds. Stay tuned to enjoy the drama as it unfolds.","movies"
"16","Can't watch #JhalakFinale tonight? Follow our tweets to know what's happening on the show. #JhalakReloaded","movies"
"17",".@suyyashrai, @princenarula88 : Final list of #BiggBossDoubleTrouble contestants ","movies"
"18","Happy Birthday #Rekha: A repository of her love life, controversies and achievements","movies"
"19","Planning to watch #TheWalk this weekend? Read @RajeevMasand's review first: ","movies"
"20","Read @RajeevMasand's review of #Jazbaa ","movies"
"21","#Rudhramadevi review: Slow narrative overshadows #AnushkaShetty's sincere performance","movies"
"22",".@diljitdosanjh starrer #MukhtiarChadha to release on November 27","movies"
"23","Veteran music director Ravindra Jain passes away","movies"
"24","I would have loved to be a part of #Papanasam: #AnupamaKumar ","movies"
"25","#Pan tweet review is over, stay tuned for more movie updates.","movies"
"26","Watch #Pan just like you read a fan-fiction and you'll have unforgettable ride. For those good old summer breaks and magic filled dreams.","movies"
"27","#Pan : Full of magic, mystery and belief, it touches upon the real characters from the original story just a little bit. It's a new telling.","movies"
"28","#Pan : ""We would always be friends hook?"" ""Always"" ""What could possibly go wrong?"". Well...","movies"
"29","#Pan : Inspite of slow storyline #LeviMiller wins your heart!","movies"
"30","#Pan : Peter meets #Tinkerbell! This is so beautiful!","movies"
"31","#Pan : Now we know why Peter couldn't read properly! Only the fairy language speaks to him. Magical, just like old times.","movies"
"32","#Pan : @Caradelevingne as mermaid! Scenes couldn't get anymore mystical!","movies"
"33","#Pan : More than an adventure it's a story of self discovery.","movies"
"34","#Pan : First half is gripping and leaves you awe struck. It's like living your long wished childhood fantasy!","movies"
"35","#Pan : More than the story it's the Neverland that gets your attention!  So dense, colourful and magical.","movies"
"36","#Pan : A boy who can fly, we found here and how!","movies"
"37",".@RealHughJackman returns on the big screen after a long time. Catch the live tweet review of #Pan here first.","movies"
"38","#Pan : @RealHughJackman looks unrecognizable as Captain Blackbeard! Never seen before indeed!","movies"
"39","#Pan : It's a magical world! Amazing CGI! It's like diving into your favourite fairy tale!","movies"
"40","#Pan : And the adventure begins!","movies"
"41","#Pan : 'Peter you are extraordinary.' Oh yes! This kid is special.","movies"
"42","#Pan : #LeviMiller as Peter looks adorable. Some mystery going on in the orphanage.","movies"
"43","Directed by #Joewright  #Pan is a prequel of much loved #PeterPan story tracing the origins of young Pan and Captain Hook.","movies"
"44","Last one. 'Mohabbat hai isi liye jane diya. Zidd hoti toh bahon mein hoti' Thanks for being with us throughout the tweet review of #Jazbaa","movies"
"45","But the dialogues! Oh dear the hilarious over the top dialogues make you lose your concentration from the plot. #Jazbaa","movies"
"46","#Jazbaa does deliver a strong message about how our legal system time and again fails to deliver justice on time.","movies"
"47","Aishwarya Rai grunts and screeches on some scenes but manages to deliver a convincing performance. #Jazbaa","movies"
"48","Melodramatic to the core, #Jazbaa scores only because of the performances.","movies"
"49","So many scenes look like they have been edited with Instagram filters. #Jazbaa","movies"
"50","One more. 'Aajkal shareef sirf woh hota hai jiske mobile mein password nahi hota'. #Jazbaa","movies"
"51","How can a suspended cop issue orders of a raid to his juniors? #OnlyInMovies #Jazbaa","movies"
"52","Some poignant scenes do question society's attitude towards rape victims. #Jazbaa","movies"
"53","Since when did rehabs start looking like mental asylum? #Jazbaa","movies"
"54","High on drama, lot of unnecessary shots of cars screeching, really over the top dialogues. First half of #Jazbaa is just like its trailer.","movies"
"55","'Neend mashooka ki tarah hota hai. Waqt na do toh rooth ke chali jaati hai' seriously who talks like that!? #Jazbaa","movies"
"56","Sanjay Gupta has managed to get a solid supporting cast for #Jazbaa","movies"
"57","Catch the live tweet review of #AishwaryaRai and @irrfan_k starrer #Jazbaa here ","movies"
"58","'Main khud langar ke line mein khada hoon. Tere liye daawat kaha se lau rokde' #Jazbaa starts in typical Sanjay Gupta style.","movies"
"59","#Jazbaa has been directed by @_SanjayGupta and also features @irrfan_k, @AzmiShabana in key roles.","movies"
"60","Will #AishwaryaRaiBachchan be able to create magic on the big screen once again. We will find out! #Jazbaa","movies"
"61","Aishwarya Rai is back on the big screen! And we are super excited to watch #Jazbaa first day first show. Stay tuned for the tweet review","movies"
"62","#AnkitGera, #RoopalTyagi, #AmanVerma: Meet the contestants who'll be seen in #BiggBoss9 ","movies"
"63","Is #AayushSharma taking fitness cues from #SalmanKhan?","movies"
"64","The 17th #JioMAMI @Mumbaifilmfest has got bigger and better and you should not miss it","movies"
"65","Watch: Trailer of #KamalHaasan's #Thoongaavanam is intense ","movies"
"66","This photo of #Dilwale co-stars @iamsrk and @KajolAtUN captures the essence of true love ","movies"
"67","#BajrangiBhaijaan gets standing ovation in Busan International Film Festival","movies"
"68","Photos: #SalmanKhan visits father Salim at Mumbai hospital ","movies"
"69","#AIFWSS16: Here’s what to expect from day 1","movies"
"70","The trailer of @konkonas, @TillotamaShome starrer 'Nayantara's Necklace' looks promising","movies"
"71","Watch: Salman Khan does #PremLeela in new song from #PremRatanDhanPayo","movies"
"72",".@mehtahansal’s #Aligarh to open  #JioMAMI Mumbai film festival ","movies"
"73","Doesn't #SonamKapoor share striking resemblance to #BipashaBasu in these photos? ","movies"
"74",".@deepikapadukone and @RanveerOfficial's intense chemistry in this photoshoot can't be missed ","movies"
"75","10 droolworthy pictures of @Gazi_rouhallah  that prove he is India's hottest male model","movies"
"76","Snapshot: When #Sridevi's daughter #Khushi met pop sensation #JackGilinsky","movies"
"77",".@yrf announces the name of the lead actor of #AdityaChopra's #Befikre with a sweet, sentimental video","movies"
"78","When author @paulocoelho felt @iamsrk deserved an Oscar for 'My Name Is Khan'","movies"
"79","#AishwaryaRai looks unrecognisable in jaw-dropping cover for a popular magazine ","movies"
"80","#TokyoStory #TheApuTrilogy: Top 10 films from #BIFF2015 #AsianCinema100 list","movies"
"81","#AIFW to witness #RahulMishra's #ParisFashionWeek ensembles at the French Embassy","movies"
"82","#HarbhajanSingh and #GeetaBasra's official wedding card revealed","movies"
"83","Satyajit Ray's 'Apu Trilogy' finds place in top-10 of BIFF's 'Asian Cinema 100' list","movies"
"84","Bachchan family looks 'best together' at the opening of #ISL2015 @SrBachchan @juniorbachchan ","movies"
"85",".@RanveerOfficial is an awesome mimic: @priyankachopra ","movies"
"86",".@priyankachopra's #Quantico is a perfect treat for fans this festive season ","movies"
"87",".@diljitdosanjh's behind-the-scenes moments from the sets of #Ambarsariya you may have missed ","movies"
"88",".@aliaa08 promotes #Shandaar; #priyankachopra is overworked: What stars shared on Instagram  ","movies"
"89","#AishwaryaRai, #ARRahman, #AliaBhatt enthrall fans at #ISL2015 opening ceremony #LetsFootball ","movies"
"90","#ARRahman leaves an indelible impact on the viewers as he sings Jan Gan Man at the opening ceremony of #ISL2015 #LetsFootball","movies"
"91","Music maestro #ARRahman is next to perform live at the opening ceremony of #ISL2015. #LetsFootball","movies"
"92","Isn't that really sweet? Everybody posing as @arjunk26 takes a selfie at #ISL2015 opening ceremony. #LetsFootball ","movies"
"93","#ICYMI: #AishwaryaRai while performing to a medley of her famous tracks. #ISL2015 #LetsFootball ","movies"
"94","If there is anybody who can pull of #DhoomMachale act wearing traditional outfit, it has to be #AishwaryaRai. Does with grace. #LetsFootball","movies"
"95","#AishwaryaRai, Queen of Bollywood, as @arjunk26 called her, is finally here. #ISL2015 #LetsFootball","movies"
"96",".@iamsrk plays badminton on #Dilwale set; @shahidkapoor @aliaa08 promote #Shandaar ","movies"
"97",".@superstarrajini's #Kabali to be shot in #Malaysia in October ","movies"
"98",".@iamsrk looks good as ever as he poses with #ShaninaShaik during a photoshoot ","movies"
"99","Snapshot: Check out #KanganaRanaut's look at #ParisFashionWeek#Dior ","movies"
"100","Will larger-than-life @BeingSalmanKhan recreate magic of innocuous family boy in #PRDP? ","movies"
"101",".@prdp music album to be unveiled on October 10","movies"
"102","Read @RajeevMasand's review of #TheMartian here ","movies"
"103","Planning to watch #Talvar? Read @RajeevMasand's review first ","movies"
"104","Read @RajeevMasand's review of #SinghIsBliing here ","movies"
"105","#TheMartian : The tweet review is over, stay tuned for more movie updates.","movies"
"106","#TheMartian : This is not just a film but an experience you'll cherish throughout. Watch it for the dedication and will of Mark Watney!","movies"
"107","#TheMartian : It gives you insight into real #Ironman power as well. Brilliant!","movies"
"108","#TheMartian : Another 'Mark' connects the world with technology.","movies"
"109","#TheMartian : Finally a rescue plan that looks efficient! And entire conversation comes down to food!","movies"
"110","#TheMartian : #MattDamon's intense acting and struggle keeps you glued to the screen.","movies"
"111","#TheMartian : The film is an interesting live diary entry till now. Let's see how it concludes the journey.","movies"
"112","#TheMartian : ""I colonised Mars. In your face Neil Armstrong."" Humour is alive along with Mark on Mars.","movies"
"113","#TheMartian : So many numbers and apparently maximum are the possibilities @NASA is working on in real!","movies"
"114","#TheMartian : On a planet where nothing grow! Well not anymore #WateronMars. Wish someone had told our botanist that before.","movies"
"115","#TheMartian : #MattDamon is a pro in art of surviving  on stranded planet, we all remember #Interstellar right?","movies"
"116","#TheMartian : Apart from a sci-fi, it would easily have been a horror film! A man stranded on an unknown planet, light years away from home!","movies"
"117","Catch the live tweet review of #TheMartian here","movies"
"118","#TheMartian : The job of an astronaut in Hollywood is no less than a superhero.","movies"
"119","#TheMartian : First frame of the film and you are exploring the red planet, already!","movies"
"120","Directed by #RidleyScott the film stars #MattDamon  in the lead role and is based on the novel by @andyweirauthor.","movies"
"121","After garnering a good response from the critics in west #TheMartian is set to woo the audience here. Let's see how much will it succeed.","movies"
"122","Thanks for being with us throughout the tweet review of #Talvar. More movie updates to follow.","movies"
"123","#Talvar is a disturbing film. But a must watch because its actors, screenplay, dialogues and narrative are superb.","movies"
"124","As usual @irrfan_k proves once again that there is no role that he can't ace. He is splendid in #Talvar","movies"
"125","Actors #NeerajKabi and @konkonas are superb in the film. So real and believable. #Talvar","movies"
"126","#Talvar bends towards the parents but still manages to raise some serious questions about the #AarushiMurderCase","movies"
"127","A numbing silence in the theater as the film comes to an end #Talvar","movies"
"128","A very crucial scene in the film underlined with witty dialogues. Not a single dull moment in such a long scene. #Talvar","movies"
"129","Dry wit throughout. So very well written all the dialogues are. #Talvar","movies"
"130","#Talvar tries to give a strong message about how the powerful influence judgements in our country.","movies"
"131","Why have they cast Tabu in such a pointless cameo? Not needed in narrative at all! #Talvar","movies"
"132","Little details that make a film realistic have been well taken care of. #Talvar","movies"
"133","The first half of #Talvar gives a very balanced point of view without being biased or bending towards the accused.","movies"
"134","A bit of dry humour manages to lighten up the narration nicely. #Talvar","movies"
"135","The film's basic plot is known but the screenplay is so engaged that you are glued to the screen. #Talvar","movies"
"136","Planning to watch #Talvar this weekend? Catch our live tweet review first. ","movies"
"137","Not a single bit of melodrama. And so hard hitting. Every single frame. #Telvar","movies"
"138","Talwar becomes Tandon, Nithari becomes Nadhari, CBI becomes CDI. Names have been changed very slyly. #Talvar","movies"
"139","The absolute callousness with which the Noida police began their investigation is so well highlighted in the film#Talvar","movies"
"140","#Talvar tweet review in a bit. Stay tuned.","movies"
"141","#AishwaryaRai, #IrrfanKhan crack up as #KapilSharma performs his act on #CNWK ","movies"
"142","#Puli review: #Vijay's latest is a boring fantasy","movies"
"143","Thanks for being with us throughout the tweet review of #singhisbliing","movies"
"144","Want to watch #SinghIsBliing? Do it if you are a true #akshaykumar fan. Rest, do it at your own risk","movies"
"145","#Kaykaymenon deserved more screen space. His role had a great potential. #singhisbliing","movies"
"146","Really want #AkshayKumar to be extra careful while selecting scripts. Even if it is comedy, it calls for serious thinking","movies"
"147","With a shoddy script, basic humour, #singhisbliing fails to leave the impact","movies"
"148","@PDdancing uses every possible comedy trope to make viewers laugh, doesn't succeed much. #singhisbliing","movies"
"149","Fans clap, root for @akshaykumar as he looks himself into the mirror in a black suit. Yes, he looks dapper #SinghIsBliing","movies"
"150","Post interval, #SinghIsBliing looks excruciatingly long.","movies"
"151","After watching #Baby, #GabbarIsback, we were expecting something refreshing in genre of comedy too. #SinghIsBliing doesn't help Akshaykumar","movies"
"152","If you are fond of @PDdancing style of action and humour blend, #SinghIsBliing is the right choice.","movies"
"153","Apart from a few jokes and repartees from @akshaykumar, we like the way he winks his left eye each time he lies. #SinghIsBliing","movies"
"154","Mai Singh hoon kisi ladki pe haath nahi uthata: @akshaykumar in #SinghIsBliing","movies"
"155","We are confused. Is this really our Khiladi? Why did it take him so long to thrash the goons? We had to wait till #SinghIsBliing second half","movies"
"156","It is sad that director #Prabhudeva couldn't make funny moments in the first half unforgettable. #SinghIsBliing","movies"
"157","Too many absurdities and complete lack of logic make #SinghisBliing disappointing.","movies"
"158","It has just been an hour and we are longing for a break. #SinghIsBliing","movies"
"159","Those who pee together, stay together. This looks true of @akshaykumar and @PDdancing #SinghIsBliing","movies"
"160","It is easy for Punjabi heroes to woo girls. Humour, non-serious approach to life is what they need. @akshaykumar has both #SinghIsBliing","movies"
"161","Never thot moron wud be mahaan, ass be aaas (Hindi word). @LaraDutta is funny in translating English dialogues into Hindi #singhisbliing","movies"
"162",".@iamAmyJackson love ur attitude. Too good at rescuing herself from baddies. Some interesting leasons for girls to learn. #SinghIsBliing","movies"
"163",".@akshaykumar is too good while breaking into a gig at the airport. A genuinely funny moment in #SinghIsBliing","movies"
"164","The only surprise element so far has been @SunnyLeone in #SinghIsBliing","movies"
"165","What's with the dishevelled look of #Kaykaymenon? While that looks a bit silly, that doesn't impact his acting skills. #SinghIsBliing","movies"
"166","Planning to watch @akshaykumar's latest #SinghIsBliing? Catch the live tweet review of the film here first.","movies"
"167","If you've watched Punjabi films, the premise of #SinghIsBliing will look familiar. Dad-son clash, a good-for-nothing hero, an emotional mom","movies"
"168","Yes, it is scary. To have a lion sit next to you calls for courage. Fun, terror, entertainment rolled into Mufasa sequence. #SinghIsBliing","movies"
"169","A camel in the fields of #Punjab?! Well, possible only with @akshaykumar #SinghIsBliing","movies"
"170",".@diljitdosanjh #TungTung song is perfect to give a typical Punjabi feel to #SinghIsBliing. You should have been part of the song :)","movies"
"171","#SinghIsBliing opens with some interesting shots of #Punjab and a funny intro to @akshaykumar","movies"
"172","Will director @PDdancing with a goofy @akshaykumar succeed at entertaining the viewers? We'll find out. #SinghIsBliing","movies"
"173","Ready to add some bling to your boring lives? Watch this space for live tweet review of @akshaykumar's #SinghIsBliing","movies"
"174","#PremRatanDhanPayo' trailer: The film is visually delightful but not exciting","movies"
"175",".@DiljitDosanjh to @akshaykumar: Stars who can inspire you with their workout routines ","movies"
"176","These holiday photos of @sonakshisinha will make you plan your trip to #Budapest and #London ","movies"
"177",".@RanveerOfficial and @deepikapadukone's first magazine cover together is sizzling hot!","movies"
"178","Presenting the first poster of @BeingSalmanKhan's next #PremRatanDhanPayo ","movies"
"179","I only blame myself: Ranvir Shorey on split with Konkona Sen Sharma","movies"
"180","#SanayaIrani to #MohitMalik: Stars' behind-the-scenes photos from #JhalakDikhhlaJaaReloaded ","movies"
"181","Why #Sridevi-#Vijay's #Puli will pull cinema lovers to theaters #Pulistorm ","movies"
"182","Asha Bhosle's son Hemant passes away at 66","movies"
"183","#HappyBirthdayKushboo: Star's personal photos you may have missed ","movies"
"184",".@hughbon feels #DowntonAbbey tells a universal story of social structure","movies"
"185",".@akshaykumar @deepikapadukone: Celebrities grace the red carpet at the #GQMenOfTheYearAwards","movies"
"186","#DibakarBannerjee to launch a new #Titli trailer for Indian audience ","movies"
"187","Revellers come out on street as the immersion procession begins#Lumia535, #AchiveMore ","movies"
"188","Know the significance of Anant Chaturdashi#Lumia535, #AchieveMore ","movies"
"189","#FTII students to call off their hunger strike after government agrees to hold fresh talks","movies"
"190","On #YashChopra's 83rd birth anniversary, #AdityaChopra announces his new directorial #Befikre","movies"
"191",".@HilaryDuff to @MileyCyrus:Disney stars who wrote every teenager's life through their music ","movies"
"192",".@iamsrk to @RanveerOfficial: What your favourite stars were upto on social media this week","movies"
"193","Get ready for a fresh take on feminism in Y-Film's #MansWorld","movies"
"194","#24 to #SumitSambhalLega Desi rip-offs of western shows that brought a different flavour on Indian TV","movies"
"195","#CalendarGirls review: Bhandarkar's tried-and-tested formula fails to give any new insights into the glamour world ","movies"
"196","#KisKiskoPyaarKaroon: @KapilSharmaK9 film isn't as ghastly as a few comedies of recent times","movies"
"197","On #DevAnand's 92nd birth anniversary, a look back at the original 'Guide' which was made in English","movies"
"198",".@jackkybhagnani meets #ScarlettJohansson at the premier of #HeNamedMeMalala ","movies"
"199","#SubramanyamForSale review: The film makes for a comfortable watch","movies"
"200","@ruhisingh11 auto correct spells weirdly. Sorry! We shall correct it. And you were fabulous! :)","movies"
"201","Thanks for staying with us throughout the tweet review of #CalendarGirls. Stay tuned for more movie updates.","movies"
"202","#CalenderGirls is like every other Bhandarkar film. Predictable from start to finish.","movies"
"203","It's entertaining but it has no new insights to offer #CalenderGirls","movies"
"204","Among the new actresses Kyra Dutt and Riju Singh who shine out the most. #CalendarGirls","movies"
"205","There were moments where before the audience in the theater were completing the dialogues for the characters. #CalendarGirls","movies"
"206","#CalendarGirls suffers because of cliches and predictable script.","movies"
"207","Hahaha! There is the #BiggBoss angle as well. Reality served Bhandarkar style! #CalendarGirls","movies"
"208","Pout is the theme of #CalendarGirls. From the young models to Mita Vashisht- everyone is pouting.","movies"
"209","Okay there is more of Mr Bhandarkar's scenes in #CalendarGirls. Self promotion much?","movies"
"210","And @imbhandarkar makes an appearance as himself. #CalendarGirls","movies"
"211","Inspite of glitches, it is a typical Bollywood entertainment #CalendarGirls","movies"
"212","First half of #CalendarGirls is predictable and sticks to a lot of stereotypes.","movies"
"213","'Jab tak film mein Khan, Kapoor ya Kumar na ho to film karne mein maza nahi aata' ;) #CalendarGirls","movies"
"214","Many characters in the film inspired from celebrities that we know of. Quite blatantly some names haven't been changed. Fun! #CalendarGirls","movies"
"215","There are five central characters. And the story equally justifies each of their track. #CalendarGirls","movies"
"216","#CalendarGirls tweet review: Live","movies"
"217","Token gay character. Check. #CalendarGirls #EveryBhandarkarFilm","movies"
"218","It's just five minutes that the movie has begun and the stereotypes are jarring. #CalendarGirls","movies"
"219","Will Bhandarkar's decision to cast 5 new faces  reap his benefits at the Box Office? We will find out. #CalendarGirls","movies"
"220","Time for @imbhandarkar's #CalendarGirls. Stay tuned for the live tweet review","movies"
"221","#MainAurCharles: Get ready for a story that looks high on drama, style, mystery and action ","movies"
"222","Thanks for being with us throughout the tweet review of #KisKiskoPyaarKaroon.","movies"
"223","While #KisKiskoPyaarKaroon might come across as an extension of @KapilSharmaK9's show, it guarantees good laugh. Stay away if not #CNWK fan","movies"
"224","@KapilSharmaK9 once again proves that he needn't make an effort to make people laugh. #KisKiskoPyaarKaroon","movies"
"225",".@arbaazSkhan love the innocence with which you pull off those super-hilarious gags. #KisKiskoPyaarKaroon","movies"
"226","This is as funny n confusing as the film - how is #KapilSharma hilarious even while doing a highly emotional scene? #KisKiskoPyaarKaroon","movies"
"227","#SupriyaPathak is such a fine actress. She understands both genres - comedy and drama - really well. #KisKiskoPyaarKaroon","movies"
"228",".@arbaazSkhan is genuinely funny in #KisKiskoPyaarKaroon. The wedding sequence will hardly leave you with any time to stop laughing.","movies"
"229","As expected #KisKiskoPyaarKaroon works coz of @KapilSharmaK9. His gags, dialogues might not b completely new, but some are endlessly funny.","movies"
"230","What's refreshing about #KisKiskoPyaarKaroon is that it doesn't use vulgarity in the name of comedy to make people laugh. @KapilSharmaK9","movies"
"231","Less of #Elliavram acting and more of her sexy moves is what #KisKiskoPyaarKaroon offers.","movies"
"232",".@KapilSharmaK9 scores full points for carrying off the birthday scene with aplomb. #KisKiskoPyaarKaroon","movies"
"233","It is interesting to see how @varunsharma90 is taking  all the right steps to make comedy his forte. #Kiskiskopyaarkaroon","movies"
"234","Samundar song is unintentionally funny. shot in such a weird way. #KapilSharma as an emotional man is hard to accept. #KisKiskoPyaarKaroon","movies"
"235","But before u think it is hilarious, let us tell you it was supposed to be an emotional scene that went horribly wrong #KisKiskoPyaarKaroon","movies"
"236","Never saw anybody get tense on #karwachauth. festival brings confusion for @KapilSharmaK9 but he finds his comfort #KisKiskoPyaarKaroon","movies"
"237","What you get is what you see and what you see manages to leave you in splits (partially). That's how #KisKiskoPyaarKaroon first half is.","movies"
"238",".@varunsharma90 your 'science ka gyaan' without any logic, relevance makes comedic sense. #KisKiskoPyaarKaroon","movies"
"239","Battle over @KapilSharmaK9's brief, manner he is being chased by his 3 wives in a mall look easy. Been done well #KisKiskoPyaarKaroon","movies"
"240",".@arbaazSkhan you are too good! Confused humour in your scenes with @KapilSharmaK9 have come out really well. #KisKiskoPyaarKaroon","movies"
"241","We are a bit confused! Is #ElliAvram really speaking her dialogues? Can't believe she can speak in pure Hindi. #KisKiskoPyaarKaroon","movies"
"242","Kapil might not have been able to rope in #DeepikaPadukone, but fills in the void by calling Elli by that name #KisKiskoPyaarKaroon","movies"
"243",".@KapilSharmaK9 makes his debut on the big screen. Catch the live tweet review of #KisKiskoPyaarKaroon here: ","movies"
"244","There hasn't been any reallllly funny scene till now, but we are still smiling. #KapilSharma impact! #KisKiskoPyaarKaroon","movies"
"245","Swanky cars, suave and confident look. Well @KapilSharmaK9 doesn't look like our regular #CNWK host. #KisKiskoPyaarKaroon","movies"
