"","user","type"
"1","Watch @ddlovato kick some ass with Michelle Rodriguez in her new ""Confident"" video ","music"
"2","Selena Gomez on Taylor Swift: The way she cares about women is so adamantâ€ #SelenaOnBillboard ","music"
"3","Influential modern jazz producer &amp; GRP Records co-founder Larry Rosen has died at age 75: ","music"
"4","Watch Ellen Degeneres scare Selena Gomez with a Taylor Swift impersonator ","music"
"5",".@KevinHart4real encouraged @AmySchumer, prior to her hosting tonight's #SNL, with a ""hostile text"" on Saturday a.m. ","music"
"6",".@CarrieUnderwood's newest track ""Heartbeat"" surges to No. 2 on Billboard's Trending 140 chart on Friday ","music"
"7","Here's why Taylor Swift won't earn big royalties from Ryan Adams' #1989 homage: ","music"
"8","Rap vet Scarface (@BrotherMob) was honored by many of his hip-hop peers at a taping of the @BET #HipHopAwards ","music"
"9","Shia LaBeouf is in hot water yet again. The actor was recently arrested in Texas: ","music"
"10","Watch Raven-Symone say she wouldn't hire a person with a ""ghetto"" name on #TheView ","music"
"11","Rapper AZ (@quietAZmoney) dishes on plans to release the sequel to his debut album, â€œDoe or Dieâ€ ","music"
"12","ICYMI: Britney Spears is back in the studio working on her next album! ","music"
"13","Selena Gomez on â€œGood for Youâ€: ""Yes, itâ€™s sexual and captivating, but thatâ€™s what makes a woman"" ","music"
"14","Get ready for @SnoopDogg, @jermainedupri and more to star in a new BET reality series ","music"
"15",".@FooFightersâ€™ Dave Grohl is becoming the weird rock equivalent to Taylor Swift -- and here's why: ","music"
"16","Is @MileyCyrus' ""Hands of Love"" another ""Wrecking Ball""? Plus more of the week's best &amp; worst singles ","music"
"17","YouTube star @TrevorMoran comes out in new video: ""I was in a glass closet"" ","music"
"18","Maybe Bieber's dad is a little TOO proud... ","music"
"19","The Weeknd and Amy Schumer should be a thing ","music"
"20","Today in 2009: ""I Gotta Feeling"" by @BEP ended its 14-week reign at No. 1 ","music"
"21",".@TaylorSwift13 discusses her inspiration behind hit single ""Blank Space"" ","music"
"22","Favorite this tweet if you're excited for Justin Bieber's album #Purpose! ","music"
"23","One Direction member Louis Tomlinson is going to be a dad soon ","music"
"24","Should K-Pop be mixed with EDM more often? ","music"
"25","Avicii takes a risk on ""For a Better Day"" and it pays off ","music"
