"","user","type"
"1","Trinamool scores landslide victory in violence-marred Bengal civic polls http://t.co/4nulMssY4j http://t.co/SSniWhf5S5","politics"
"2","Country faces threat from reservation system: Anna Hazare http://t.co/xcs5pFBbuK http://t.co/gnP1rppyCI","politics"
"3","Shiv Sena demands cancellation of ex-Pak minister Khurshid Kasuri's Mumbai book launch http://t.co/JjsmvRd6qW http://t.co/JcFrRDCpjs","politics"
"4","7-year-old girl allegedly raped by 55-year-old man in Uttar Pradesh http://t.co/pCmYf1iPS7 http://t.co/wBQnurwxeC","politics"
"5","Family in China fined $110,180 for violating one-child policy http://t.co/ie3f4udlzF http://t.co/wVspl29EOz","politics"
"6","We have to rise above 'narrow boundaries': General VK Singh http://t.co/vSHz9o8m6j http://t.co/NKkBxWyjCE","politics"
"7","Indian woman fell on electricity box, had to amputate arm: Saudi employer http://t.co/eRlBycIctx http://t.co/Z0OI6Z8j6J","politics"
"8","Uddhav Thackeray to skip PM Modi's events in Mumbai tomorrow http://t.co/jZxqMvDzqp http://t.co/tdlrdc9QzC","politics"
"9","Vijender Singh knocks out Sonny Whiting in pro debut http://t.co/YvdG7IYJEV http://t.co/nKNdOAMtyQ","politics"
"10","Farmers' protest in Punjab causes Rs. 100 crore loss to railways http://t.co/8F4RUQWlC8 http://t.co/lpM2CQWYFi","politics"
"11","Boxer Vijender Singh makes pro debut against Sonny Whiting 
Live Updates: http://t.co/TZHYHaTs5g http://t.co/Aymkw3BHUj","politics"
"12","Three injured in Udhampur in highway attack after protests http://t.co/aa9joOpLYY http://t.co/mjwQvSyQ7j","politics"
"13","Overcoming cerebral palsy and winning http://t.co/p5C7qhgyfG http://t.co/M8PjhwrzS4","politics"
"14","Hemkund Sahib closure ushers end of this year's Char Dham Yatra http://t.co/GoSV4rZ7G0 http://t.co/cjOns2k4jN","politics"
"15","Women shouldn't suffer in silence but seek police help, says Commissioner BS Bassi http://t.co/iJ5HIh1XVC http://t.co/3M6x13C7J2","politics"
"16","After a call for friendly relations, Nawaz Sharif invites separatist Geelani to Pakistan http://t.co/6vOznA77Zn http://t.co/Sbyf4JcXdp","politics"
"17","India risks backsliding on success against HIV, says United Nations envoy http://t.co/7PJImrGB6m","politics"
"18","Astonishing you aren't sensitive to the issue: Poet Keki Daruwalla writes to Sahitya Akademi President on rationalist MM Kalburgi's killing","politics"
"19","Foreign Minister Sushma Swaraj arrives in Maldives on two-day visit http://t.co/GHi7kZhiwJ http://t.co/NoW8CEIWsr","politics"
"20","Inside the fabulous world of Donald Trump, where money is no problem http://t.co/XeWlDAYSaE http://t.co/6jPcYNPALV","politics"
"21","No breakthrough after fourth meeting between FTII students, government http://t.co/tVbpdxIAu2 http://t.co/qBRP5wzbQM","politics"
"22","Campaigning ends for First Phase of Bihar polls. Voting on October 12. http://t.co/90KZpoS9A2 http://t.co/6Gs5pkH0xU","politics"
"23","PM Modi weakening farmers to get their lands, says Rahul Gandhi in Karnataka http://t.co/2v9erJ1h9V http://t.co/QSNIbLy3yz","politics"
"24","Sacked AAP minister Asim Khan rebuts graft charges: Highlights http://t.co/qfOYSboixR http://t.co/nR0wdTL4TK","politics"
