"","user","type"
"1","New book ""Neuro Tribes"" explores how autism has been badly misunderstood http://t.co/nLaIgT83aw http://t.co/aJLBU4eOam","technology"
"2","Here's @hfalcke. He says he is going to photograph a black hole. So, err... http://t.co/Xu6gqkk75b http://t.co/wVPkQdlrHh","technology"
"3","Placebo effect works in video games too http://t.co/foXDK7jeEo http://t.co/I7CC6n80F6","technology"
"4","Global coral bleaching event: What you need to know https://t.co/k662ruqV7n http://t.co/ISovIcw1dV","technology"
"5","100 years of general relativity and still no one knows what a black hole does to matter http://t.co/B0JotNUSFL http://t.co/hPofzl50oE","technology"
"6","Inside China’s plan to give *every* citizen a character score http://t.co/kclOB7HUyk (part 1 of a 2-part special) http://t.co/EmiqPyuXOQ","technology"
"7","If you're born in winter you have a lower risk of dementia http://t.co/cEW6rZKMFO http://t.co/3Po5UTkuKp","technology"
"8","Squirrel monkeys teach themselves to eat and drink from a cup http://t.co/CBg3yGWQkH http://t.co/kpjtOxbwzP","technology"
"9","Feedback learns of Schrödinger’s stowaways: secret passengers that disappear when discovered http://t.co/XKunDvPnTz http://t.co/oZapO2x1Pj","technology"
"10","http://t.co/tbWpFPVGJf","technology"
"11","@Tytherius er... it's not","technology"
"12","The world’s coral reefs are in the midst of a mass die off - here's what you need to know http://t.co/36oZfwtJMu http://t.co/rcjA6AUiM2","technology"
"13","@tarah If you could relay more detail via email to customerhelp@newscientist.com, we would like to thank you for your time &amp; feedback. (2/2)","technology"
"14","Genome of ancient Ethiopian tells of back-to-Africa migration http://t.co/itPkr0kgOk http://t.co/sLdi0wmT9s","technology"
"15","@tarah We're sorry to have lost you as a subscriber.  Our apologies for the inconvenience we've caused.  We appreciate the feedback.  (1/2)","technology"
"16","As it's #WorldEggDay, we ask... What would happen in a world without chickens? http://t.co/NlHnuqz8MN http://t.co/NynIKRBPTY","technology"
"17","Why it's worrying when Ebola survivors get ill http://t.co/NXN6drE6Xy http://t.co/DR8UySJnxA","technology"
"18","@GrantDenkinson This advertisement has been updated online here http://t.co/CGZA6xS2N0","technology"
