"","user","type"
"1","Westchester Food Bank Looks to Local Gardens to Fill Bags for Hungry http://t.co/lYtjAxkh9J","food"
"2","Anna Pump, Chef and Author Famed for Hamptons Store, Dies at 81 http://t.co/R3oEC8v9GI","food"
"3","Share Your Memories of Paul Prudhomme http://t.co/Zc3gVqTzYT","food"
"4","City Kitchen: Herb Jam With a Mediterranean Pedigree http://t.co/MhrPenBpYZ","food"
"5","A Good Appetite: Roast Chicken, the Easy Way http://t.co/gK7st3gHHU","food"
"6","Drink: The Corpse Reviver Is as Good as Its Name http://t.co/zg2MDMB9W1","food"
"7","A Quest for New York’s Perfect Biscuit http://t.co/SRUQx0T1qF","food"
"8","Paul Prudhomme, Chef Who Put Cajun Cooking on National Stage, Dies at 75 http://t.co/9ZOQKv8kLr","food"
"9","Hungry City: A Quest for New York’s Perfect Biscuit http://t.co/T12DmRaydn","food"
"10","Muslim Winner of Baking Contest Defies Prejudice in Britain http://t.co/ROhYjBqu78","food"
"11","Travel: London’s Newest Unassuming Art Destination http://t.co/UV8XO8cbgE","food"
"12","Neighborhood Joint: A Membership-Based Coffee Shop in Greenwich Village http://t.co/61yXcn3lgq","food"
"13","Eat: All Rise for the Soufflé http://t.co/Rg8HdS8jii","food"
"14","Peet’s Buys Stumptown Coffee Roasters http://t.co/GxXaliVgOu","food"
"15","Charting New Frontiers in Chilean Cuisine http://t.co/992jgJtITr","food"
"16","Recipes for Health: Ragout With Farfalle Gets a Touch of Green http://t.co/mJHdpxF8Vm","food"
"17","Off the Menu: Union Square Cafe Can See the End http://t.co/KVYlv6Yzsa","food"
"18","Cookbooks: In ‘Zahav,’ Michael Solomonov Explores Israeli Food http://t.co/IVJT5Wxs9Q","food"
"19","Recipe Lab: Ragù, a Meat Sauce Done Right http://t.co/AVKOBpmq7h","food"
"20","Restaurant Review: Wildair on the Lower East Side http://t.co/5099DDv7qt","food"
"21","The Mexican Bulldog Lets the Mixing Take Place as You Sip http://t.co/wQ4qAfCJya","food"
"22","One-Thing Shops: One-Thing Shops: Food Books, Brooklyn http://t.co/4bjTzb79Wr","food"
"23","A San Francisco Street Transformed by Food http://t.co/GxOUGmwtKH","food"
"24","A San Francisco Street Transformed by Food http://t.co/2YK4FNoSmD","food"
"25","Front Burner: Italian Cheeses, Imported From Abruzzo http://t.co/do6OuPLAOr","food"
"26","Health Benefits of Tea? Here’s What the Evidence Says http://t.co/aPCpRcBEMu","food"
"27","Close at Hand: Anjali Kumar, a Lawyer for Warby Parker, and Her Griddle http://t.co/BNj5xALeJa","food"
"28","Health Exam Help for Restaurants to Avoid Rodents, or Worse, a C http://t.co/jUkAxLSdf5","food"
"29","http://t.co/5D62hgXjxs","food"
"30","On Location: Leaving Brooklyn for a Charleston Cottage http://t.co/qUDYtq0Luv","food"
"31","A Good Appetite: Hake and Bell Peppers Get the Sheet-Pan Timing Right http://t.co/8syECnokI7","food"
"32","City Kitchen: Fried Shrimp That Welcome the Spice http://t.co/x0x3WH9R6u","food"
"33","What I Love: Audrey and Danny Meyer at Home on Gramercy Park http://t.co/5e2FSkjEGg","food"
"34","Restaurant Review: Anaya Sushi in New Haven Caters to Students http://t.co/mahQw7ZRy7","food"
"35","Wine School: Chinon, a Red With Attitude https://t.co/4w2QBqfv35","food"
"36","Wine School: Your Next Lesson: Gigondas https://t.co/qTYyL0LSwc","food"
"37","Safari Brings Somali Cuisine to Harlem http://t.co/b9eu64NXoM","food"
"38","Hungry City: Safari Brings Somali Cuisine to Harlem http://t.co/POzPS59gtZ","food"
"39","Do We Value Low-Skilled Work? http://t.co/u7c84oI91Y","food"
"40","Where Is the Vegan Julia Child? Readers React to ‘Vegan Glam’ http://t.co/ZjYZBFghos","food"
"41","Picholine to Find a New Home http://t.co/QcUHE2rJrI","food"
"42","Michelin Stars Are Coming Out http://t.co/VVcBIDJYwR","food"
"43","Vegans Go Glam: Reporter’s Notebook http://t.co/jpLRcnXC31","food"
"44","Neighborhood Joint: Heroes and Hot Dogs in a Changing Bronx http://t.co/4A7g8oXQwJ","food"
"45","Contributing Op-Ed Writer: ‘The Changing Face of California Agriculture’ http://t.co/CKCN0uwwru","food"
"46","Mark Bittman: ‘The Changing Face of California Agriculture’ http://t.co/mmriSyKfIc","food"
"47","Eat: East by West Indies http://t.co/s0Z6zTZr0i","food"
"48","Vegans Go Glam http://t.co/O8U865rotb","food"
"49","Einat Admony Branches Out http://t.co/vOhJCdyftQ","food"
"50","Off the Menu: Einat Admony Branches Out http://t.co/GLZUxZOs9b","food"
"51","Cookbooks: In ‘The Food Lab,’ the Science of Home Cooking http://t.co/DWxnlvEvLz","food"
"52","Is That Cappuccino You’re Drinking Really a Cappuccino? http://t.co/8Djl0OcV0S","food"
"53","Restaurant Review: Houseman in Hudson Square http://t.co/8MDPjjRbky","food"
"54","Restaurant Review: Houseman in Hudson Square http://t.co/NdUOg7TTaW","food"
"55","Hey, Mr. Food Editor: Just the Right Chicken Parmesan http://t.co/XI76arTXfY","food"
"56","Recipes for Health: Okra Helps Dress Up Potato Salad http://t.co/trLrfAJtal","food"
"57","Q&amp;A: Chef José Andrés on Giving and Getting Back in Haiti http://t.co/0xUdCQOkBp","food"
"58","Charles Masson Finds a New Home http://t.co/5ve8TMhurV","food"
