"","user","type"
"1","RT: @poniewozik New: On Hulu's appealing comedy CASUAL, the latest in the indie-film-TV genre. http://t.co/tObglUmM11","arts"
"2","Gob Squad’s ‘Before Your Very Eyes’: A ‘Boyhood’ for the Stage http://t.co/rpFY2hR63t","arts"
"3","Defamation Suit Against Bill Cosby Will Go Forward in Massachusetts http://t.co/0RbMqZHkku","arts"
"4","How do you raise $3.47 billion? Ask these guys. http://t.co/PTCbPmCuLY http://t.co/ianguCMMxB","arts"
"5","Museum of the Moving Image Begins Series of Frederick Wiseman Films http://t.co/cn4iaKAGDi","arts"
"6","“Love Story” was the quintessential movie romance, at least until Nicholas Sparks picked up his laptop http://t.co/nI1rKyvwCA","arts"
"7","Who are these people who give large donations to the arts anonymously? http://t.co/4UCXoGsWFC http://t.co/RySotZqJiH","arts"
"8","The Great American Musical, Side B, in ‘Crazy Ex-Girlfriend’ http://t.co/i3wCN1LJv9","arts"
"9","It’s not only the Golden Age of TV, it’s the Silver Lake Age of TV. http://t.co/AZZ7DKcgpa","arts"
"10","When you need $500 million for a new museum wing, how exactly do you ask? And who do you ask? http://t.co/UlRZfKR7DP","arts"
"11","Businessman and philanthropist David Rubenstein is giving $25 million to his alma mater @DukeU to support the arts http://t.co/LXBVGNYXAr","arts"
"12","A playful ‘Robin Hood,’ complete with sack race, at the New Victory Theater http://t.co/Zs9kNBziY1","arts"
"13","‘Manhattan’ Looks at the People Behind the Atom Bomb http://t.co/025BG85PnZ","arts"
"14","""Surely, if Cinderella and the Prince lived happily ever after, that did on occasion involve physical intimacy."" http://t.co/W516Mkily4","arts"
"15","Review: ‘Fool for Love,’ a Kinship That Breaks Hearts and Knuckles http://t.co/bDGctchx8I","arts"
"16","Benjamin Grosvenor makes his Carnegie Hall recital debut this month http://t.co/Uk1sYqX2H3 http://t.co/qTX22dPmoT","arts"
"17","RT: @PamelaPaulNYT First Austen, now Shakespeare: Novelists reimagine and update the Bard. http://t.co/ziS0M5dwT3","arts"
"18","Antiques: ‘From Waterloo to New Jersey,’ a Glimpse of Joseph Bonaparte’s Life in Exile http://t.co/ZTCfzWN5tF","arts"
"19","Review: James Levine Conducts ‘Tannhäuser’ at the Met http://t.co/LdbfdU3yFW","arts"
"20","""It’s more important to make a compelling case early than a perfect case too late.” http://t.co/w2Mdbtj3p5","arts"
"21","Spend a day with Young Thug, the most intriguing renegade in hip-hop http://t.co/8W4mSq032X","arts"
"22","Review: ‘Short Skin,’ an Anatomical Sex Comedy http://t.co/cFk8lSrewf","arts"
"23","Review: ‘In My Father’s House,’ a Rapper Reconnects With Dad http://t.co/V7KTX4Q2gt","arts"
"24","Review: Ensemble Origo, Doing the Lowbrow With Dignity http://t.co/KJcNScHI4a","arts"
"25","Friday File: When John Lennon Was Starting Over http://t.co/BZ9qgwDhZk","arts"
"26","Comedy Listings for Oct. 9-15 http://t.co/AT3nzwpeQ0","arts"
"27","Museum &amp; Gallery Listings for Oct. 9-15 http://t.co/fnZQohCwyz","arts"
"28","Art Review: An Ancient Egyptian Show That’s Low on Bling but High on Beauty http://t.co/IAFCivwqAd","arts"
"29","Dance Listings for Oct. 9-15 http://t.co/1PD4nV7PwQ","arts"
"30","What’s on This Week Around the World http://t.co/3UEINZZxX7","arts"
"31","Popcast: Taking Notes From Kanye West http://t.co/EWlASR9Q4q","arts"
"32","Yale Selects Architect for New Schwarzman Center http://t.co/uQfiLjeEvp","arts"
"33","New York Film Festival: Five Questions for Todd Haynes http://t.co/e9L1UjiJNK","arts"
"34","Music Review: Review: Karrin Allyson Meddles With the Masters, Rodgers and Hammerstein http://t.co/mSWrfbHmrb","arts"
"35","Review: At Fall for Dance Festival, Female Power http://t.co/TPjTNhg9Aw","arts"
"36","World Briefing: Iran: Shunning an Event With Salman Rushdie http://t.co/RO2I5LoSU3","arts"
"37","Five Questions for John Crowley, the director of ""Brooklyn"" http://t.co/joNOCcYdUd http://t.co/CYMbsn6slO","arts"
"38","On this week's Popcast, @joncaramanica and @benratliff discuss how Kanye West has influenced current music hits. http://t.co/RrquRnffiZ","arts"
"39","Review: Kurt Vile and War on Drugs Share a Middle Ground http://t.co/gTOsbQHbvF","arts"
"40","Jennie Somogyi’s Last Steps, After All It Took to Get to Them http://t.co/qPKJc4c1xN","arts"
"41","Take a look inside Guillermo del Toro’s house of horrors http://t.co/1OgDJq8pUy http://t.co/VsPwDiEKKX","arts"
"42","Five Questions for Michael Almereyda, the director of the Stanley Milgram biopic ""Experimenter"" http://t.co/SUrVEPmJjE","arts"
"43","Weathering Young Thug’s Tornado http://t.co/UhHx7qID4w","arts"
"44","Review: Ricky Martin Has a Unity Party at the Garden http://t.co/R8oY0LXFM1","arts"
"45","Private Property or Patrimony? The Fight Over a Picasso http://t.co/HA2CkWacXp","arts"
"46","Meet two unlikely hip-hop radio hosts who helped break some of the biggest rap acts in the ‘90s http://t.co/yMHzfEyc1Y","arts"
"47","Young Thug may not be the only renegade left in hip-hop, but he’s one of the most intriguing, writes @joncaramanica http://t.co/LqKNf3sQhU","arts"
"48","Trying to raise a lot of money? How to meet daunting campaign goals: http://t.co/jCc8MWrd2e http://t.co/D5LlO7Wwb7","arts"
"49","“In 1995, Jay Z was hustling. I was always amazed, like, why is this dude so cocky?” http://t.co/2vAHaMACNj","arts"
"50","When women make large donations, they usually do it quietly  http://t.co/L5mHG1e6Cc http://t.co/Kg8OHjfH1A","arts"
"51","A chat with Todd Haynes about ""Carol,"" screening this weekend at @TheNYFF http://t.co/wIXEtnWDO5 http://t.co/jFpYE51N5o","arts"
"52","They chatted with a 16-year-old Notorious B.I.G. and hosted Jay Z before he released an album: http://t.co/FQKuqEToZa","arts"
"53","When you need $500 million for a new museum wing, how exactly do you ask? And who do you ask? http://t.co/Q5SWwVwR9u","arts"
"54","New York cultural institutions are racing to come up with enormous amounts of money http://t.co/NQOe3HrHhM http://t.co/XK8an3lPBw","arts"
"55","Inside The Times: Hooray for Hollywood! A.O. Scott: Upbeat About Fall Movies http://t.co/RwgK0BOkwl","arts"
"56","Who are these people who give large donations to the arts anonymously? http://t.co/a3O8XrMdZG http://t.co/65aa1PZSZD","arts"
"57","For the last couple of years, Young Thug been one of the most crucial innovators in hip-hop http://t.co/9O3h2jgFhJ http://t.co/mU6emDvSQg","arts"
"58","How do you raise $3.47 billion? Ask these guys. http://t.co/1XPSnwr7ly http://t.co/e9Qttz2zVm","arts"
"59","Reality TV, like Donald Trump’s campaign, is a product of a fractious time of niche audiences http://t.co/NNwEwitGOZ","arts"
"60","Review: John Luther Adams, Lauded and Played at Columbia http://t.co/kQUpHdzDw8","arts"
"61","Susan Rice’s ‘Combative’ Tone Damaged Relations With Israel, Ex-Aide Writes http://t.co/NFZguUL4Ma","arts"
"62","Donald Trump’s presidential candidacy may seem to use unfamiliar tactics — unless you’ve watched “The Apprentice.” http://t.co/g1BDVDv2We","arts"
"63","Gail Zappa, Keeper of Her Rock Star Husband’s Legacy, Dies at 70 http://t.co/sJ97Yyvypy","arts"
"64","Sony Weighs Selling Part of Music Catalog http://t.co/QUUc273BAh","arts"
"65","State of the Art: In ‘Steve Jobs,’ Tolerating Tech’s Unpleasant Visionaries http://t.co/yfrH59J8ju","arts"
"66","What Donald Trump learned about politics from ""The Apprentice"" http://t.co/5UTGCmaRID http://t.co/uM2S5xjXBU","arts"
"67","Book Review Podcast: ‘Rosemary: The Hidden Kennedy Daughter’ http://t.co/HIL7MHwyDq","arts"
"68","What Donald Trump Learned About Politics From ‘The Apprentice’ http://t.co/8SacQUDCos","arts"
"69","Malcolm-Jamal Warner Says ‘Cosby Show’ Legacy Has Been Tarnished http://t.co/sqKM6uh5wE","arts"
"70","Review: In Takashi Miike’s ‘Yakuza Apocalypse,’ Blood and Fur Flies http://t.co/HHiGHBOevR","arts"
"71","An in-depth look at how ""tappers"" raise billions of private $$$$ for NYC's arts institutions http://t.co/KZ4iFG9k9U http://t.co/QRpG3YsHcK","arts"
"72","Think you know your favorite artist? Try to guess which picture was made by them when he or she was a child. http://t.co/yAOf63EWP1","arts"
"73","""Thought it would be nice to see my name in a place where I’m going to spend a lot of time."" http://t.co/VHgGnqnu5K http://t.co/N1J6baa1oh","arts"
"74","The Big Ask: With more than $3 billion in projects planned, New York arts institutions are in a fund-raising frenzy http://t.co/iLknxf3VkC","arts"
"75","Charles Isherwood is not surprised by the quality of the Women’s Voices Theater Festival http://t.co/wpZ4ZeSdHJ http://t.co/i6dPPvBDwV","arts"
"76","Review: ‘A Faster Horse’ Tells the Ford Mustang’s Story http://t.co/xdTMlPPiFt","arts"
"77","Review: ‘Up and Away,’ a Trip Into the Clouds for a Special Audience http://t.co/xBcpEaarhJ","arts"
"78","‘Winter on Fire’: The View From the Trenches of a Political Uprising http://t.co/C37Npr8nHZ","arts"
"79","Lens Blog: Keeping Photography Modern at MoMA http://t.co/2avc0IMvAy","arts"
"80","Review: Gabrielle Stravelli Gets Torchy and Intense at Feinstein’s/54 Below http://t.co/g2cVi0LDsr","arts"
"81","Video Reviews of ‘Steve Jobs,’ ‘Pan’ and ‘The Forbidden Room’ http://t.co/rhWZNdAOxb","arts"
"82","‘Halt and Catch Fire’ and the Blessings of ‘Peak TV’ http://t.co/EYXJ84E2qB","arts"
"83","""Halt and Catch Fire"" and the blessings of peak TV  http://t.co/pAGLekQ3rq","arts"
"84","""Halt and Catch Fire"" and the blessings of peak TV  http://t.co/gkHWHleE1C","arts"
"85","Keanu Reeves, as a Cheating Husband, Endures a Comeuppance in ‘Knock Knock’ http://t.co/yzlbsS7wbA","arts"
"86","Film Review: Review: Stephen Daldry’s ‘Trash’ Is in the ‘Slumdog Millionaire’ Vein, With Sugar http://t.co/aWIH046ZQv","arts"
"87","Art Review: Cobra Artists Worked With a Passionate Style to Match Their Name http://t.co/tFwmE6nn3J","arts"
"88","This @MetMuseum Egyptian show is low on King Tut bling and high on complex beauty http://t.co/TVO8Sl4wDR http://t.co/gbb24WqNsg","arts"
"89","Art Review: Trevor Paglen Brings Surveillance to Metro Pictures http://t.co/gbFxnEVC05","arts"
"90","Review: Seán Curran Company in a Cross-Cultural Exchange http://t.co/QboU6Vb9lz","arts"
"91","Stretch Armstrong and Bobbito, Hip-Hop Heralds, Are Saluted in a Film http://t.co/aouuffb3DB","arts"
"92","Review: ‘The Walking Dead’ Goes Even Bigger in Season 6 http://t.co/s2llA1XP9I","arts"
"93","Review: ‘A Woman Like Me,’ About Grappling With Terminal Illness http://t.co/DoqYoaccqi","arts"
"94","Frank Albanese, Actor on ‘The Sopranos,’ Dies at 84 http://t.co/qvwDdGkHGT","arts"
"95","Review: ‘The Final Girls’ Looks Over Its Shoulder at Horror Tropes http://t.co/t209khxqc2","arts"
"96","At the MoMA, keeping photography modern http://t.co/pRzp6H7DoN","arts"
"97","Inside Art: Part Exhibitionism, Part Surveillance http://t.co/m7yfv9yim3","arts"
"98","‘Cars 3’ and ‘Toy Story 4’ Swap Release Dates as Disney Changes Film Schedule http://t.co/USfgtQh0lV","arts"
"99","Have questions about ""The Walking Dead""? Submit them to show runner Scott Gimple here http://t.co/qungtP7los http://t.co/aFUZILGv2R","arts"
"100","Cue the creepy music; ignore the blazing sunshine. Welcome to the Bleak House. http://t.co/7jFi3EAJbV http://t.co/P2UxDW2Ka4","arts"
"101","Have questions about ""The Walking Dead""?  Submit them to show runner Scott Gimple here http://t.co/xqtxCbGTAP http://t.co/aiuRhqgoSi","arts"
"102","Commissioned Artist Named for Armory Show http://t.co/H79MqXEBg5","arts"
"103","William Kentridge Gives Major Collection to George Eastman Museum http://t.co/LLRqHvjiHE","arts"
"104","Peter Brant to Consolidate Art Media Properties at http://t.co/FlQ1fnsy3g http://t.co/htQsdZMxcv","arts"
"105","A new art exhibition on @DisneyPixar shows how Woody became Woody http://t.co/0Zo3GHxtGP http://t.co/NSNZ8YemS7","arts"
"106","James Earl Jones and Cicely Tyson lay their cards on the table in 'The Gin Game’ http://t.co/ENBJT6eoIY http://t.co/9cp9wNSUve","arts"
"107","After Ruling, Two Muslim Comedians Closer to Having Ads Posted in Subways http://t.co/0WCWTG8NFY","arts"
"108","Tim Pigott-Smith plays the man who would be a monarch http://t.co/HieooYzXeO","arts"
"109","“Who are you? What do you do?” http://t.co/zrRYkelclT http://t.co/Mpie86KziN","arts"
"110","""Halt and Catch Fire"" and the blessings of peak TV  http://t.co/LPkRSThVqr","arts"
"111","Take a tour of Guillermo del Toro's (@RealGDT) imagination with @melenar http://t.co/rn7Dw5JJAH http://t.co/DrlUW1GDlg","arts"
"112","Ask a Show Runner: Submit Questions for Scott Gimple of ‘The Walking Dead’ http://t.co/yDSqh3hXXX","arts"
"113","Will “King Charles III,” a hit in London, be a success on Broadway? http://t.co/fdmrhUyZYf http://t.co/RSvUtvDqxA","arts"
"114","At the MoMA, keeping photography modern http://t.co/h7mZux9NFM","arts"
"115","What to Do This Weekend http://t.co/1SR80TPttn","arts"
"116","Svetlana Alexievich Is Rare Nonfiction Winner of Nobel http://t.co/Xp2QWgPN4o","arts"
"117","Chantal Akerman Films to Get Free Screenings http://t.co/Yqlt280e8l","arts"
"118","Tim Pigott-Smith plays a future king of Britain in “King Charles III,” http://t.co/n6oLPw4oQP http://t.co/0ro5pNlmKD","arts"
"119","In tribute to Chantal Akerman, @TheNYFF has added free showings of two of her films http://t.co/1k6oq9ksyF","arts"
"120","An ancient Egyptian show at the @MetMuseum is low on bling, but high on beauty http://t.co/NdAnKQLEBo http://t.co/CXItr5hgsO","arts"
"121","Gender bias in Hollywood reportedly draws federal scrutiny http://t.co/Id5IWis1Ab","arts"
"122","Lady Gaga is a blood drinking child snatcher in ""American Horror Story: Hotel"" http://t.co/2LbXHfK42s http://t.co/sOqT7WxFyp","arts"
"123","‘American Horror Story’ Recap: Lady Gaga Checks In http://t.co/bZOFIztQa3","arts"
"124","From the Archives: Past Winners of the Nobel Prize in Literature http://t.co/2jrkihgIdH","arts"
"125","The NYT's weekly debut of a new noteworthy album: http://t.co/IOfz2uXYnZ","arts"
"126","""Empire"" recap: a homecoming betrayal http://t.co/NmhHyButfN","arts"
"127","Svetlana Alexievich Wins Nobel Prize in Literature http://t.co/ANwwPpUMUs","arts"
"128","Tim Pigott-Smith is a future king of Britain in “King Charles III,” opening soon on Broadway. http://t.co/KAxpfYBmLu http://t.co/le7u99eDWg","arts"
"129","The Nobel Prize in Literature is awarded to the Belarussian writer Svetlana Alexievich. http://t.co/AGYgeI0Prr http://t.co/ymCMpOn4Uh","arts"
"130","Review: Alex G Cracks the Bedroom Door With ‘Beach Music’ http://t.co/4wrktHdquG","arts"
"131","Tim Pigott-Smith discusses portraying Prince Charles in a new play opening soon on Broadway. http://t.co/Ps1yHhAVgU http://t.co/bapYRxZGUY","arts"
"132","Chic has earned a record tenth nomination to the Rock and Roll Hall of Fame. See the full list: http://t.co/Q8I0L7nyFQ","arts"
"133","Review: ‘Steve Jobs,’ Apple’s Visionary C.E.O. Dissected http://t.co/oZUCqQWdf6","arts"
