"","user","type"
"1","How computer scientists use AI to root out tax cheats http://t.co/XxdzDPYvD4","business"
"2","Obama Won’t Seek Access to Encrypted User Data http://t.co/aAV6L0pKul","business"
"3","On Work: An Alpine Antidote to Working Weekends http://t.co/UUHVDumiOI","business"
"4","Anheuser-Busch InBev’s Growth Playbook Starts With Its Checkbook http://t.co/CE09APFMlr","business"
"5","U.S. Chamber of Commerce officials adamantly deny they are lobbying on behalf of tobacco http://t.co/2WWbht2QgQ http://t.co/KgmiI3njW9","business"
"6","Makers of consumer products have a long history of cheating on federal tests http://t.co/Ejxwll6tNl","business"
"7","Flat Wages Add to Allure of the ‘Anti-Politician’ in Reliably Red States http://t.co/nl0K1FzA5q","business"
"8","The Haggler: Connecting the Dots to Catch the Rogue Movers http://t.co/iBFLKaad2d","business"
"9","Big tobacco companies get a boost from U.S. Chamber of Commerce http://t.co/W7QGs6GeYF http://t.co/ktSajRuXip","business"
"10","How much should you financially help adult children? http://t.co/msrgEEbGeN http://t.co/4tyGbf3aYS","business"
"11","Great careers, affluent incomes, but money can't buy a great work-life balance http://t.co/RtCotRHKEu http://t.co/h1oJA5vVCK","business"
"12","What neighbors do when the house next door becomes a party rental via Airbnb or Home Away http://t.co/ogHo6KhO1H http://t.co/Rb814pZOOs","business"
"13","Warnings for parents who provide financial support to adult children http://t.co/KoHeKazzmE http://t.co/paCIL1sCMo","business"
"14","Big tobacco companies are being helped globally by U.S. Chamber of Commerce support http://t.co/Ajrd0z5Iqr http://t.co/CSI9okfKHG","business"
"15","Thomas J. Donohue has transformed the U.S. Chamber into an aggressive advocate for tobacco http://t.co/CoTFZvWq7x http://t.co/nEgFw3wQeA","business"
"16","How computer scientists use AI to root out tax evasion http://t.co/jzPNzIg5GJ","business"
"17","U.S. Chamber of Commerce officials adamantly deny they are lobbying on behalf of tobacco http://t.co/bXH9hFn7Bd http://t.co/RU4yTMjKQf","business"
"18","U.A.W. Chief Expects Deal on Contract at Chrysler http://t.co/53FL67HTIv","business"
"19","U.S. Chamber of Commerce officials adamantly deny they are lobbying on behalf of tobacco http://t.co/rBMHnlxpu6 http://t.co/vroHBQU1zI","business"
"20","Fiat Chrysler to Move Forward With Ferrari I.P.O. http://t.co/F4rzCrYxEj","business"
"21","Defamation Suit Against Bill Cosby Will Go Forward in Massachusetts http://t.co/pStfE4n5eK","business"
"22","Business Briefing: Walmart Names Finance Chief in Executive Shuffle http://t.co/IiEgARWpAX","business"
"23","“There are yellow lights flashing out there in terms of the global economy,” says fund manager http://t.co/kEo68GVMpW","business"
"24","Your Money Adviser: New Credit Score Systems Could Open Lending to More Consumers http://t.co/WDebwVeUqj","business"
"25",".@ronlieber went to Austin to see what happens when a place is rented out as a party house http://t.co/StyELnQgLS http://t.co/nVoqPzRgQd","business"
"26",".@ronlieber went to Austin to see what happens when a place is rented out as a party house http://t.co/6RB5xitErD http://t.co/OVO7EP2J6i","business"
"27","Makers of consumer products have a long history of cheating on federal tests http://t.co/3Ngu4UtNFd","business"
"28","Computer scientists tap artificial intelligence to root out tax evasion http://t.co/OOsFT5nD5o","business"
"29","Coca-Cola Bottler Wins Labor Suit in Spain http://t.co/jIB1bgaV7c","business"
"30","Microsoft's mission to reignite the PC market may be taking hold http://t.co/b6iJBEuygs http://t.co/lXq7rNxu6O","business"
"31","Computer scientists tap artificial intelligence to root out tax evasion http://t.co/9Sy4zOig94","business"
