"","user","type"
"1","California is about to enact the strictest law yet on antibiotic use in farms:  ","politics"
"2","Donald Trump's tweets this week, rated from 1 to 5 Trumps: ","politics"
"3","It's not your imagination: Nickelodeon shows got worse throughout the 90s ","politics"
"4","Great insight on the way the conservative movement’s anti-party politics has rendered the job of speaker miserable: ","politics"
"5","Such a Canadian cliche ","politics"
"6","2 school shootings in a day is shocking. But there are 92 gun deaths on average each day.  ","politics"
"7","This week's podcast: could single-payer health care work in the United States?  ","politics"
"8","This week on “What’s Up with Lincoln Chafee”: Last month, 0.0%. Now: 0.2%. Soon: 100%! ","politics"
"9","I think the House Freedom Caucus needs a better name, like ""The Speaker Hunters"": ","politics"
"10","There's a rules-based explanation for why the House GOP has become such a shitshow: ","politics"
"11","""I've never been so disgusted by my own data,"" says author of study showing reactions to “black-sounding” names: ","politics"
"12","The affair allegations that derailed Kevin McCarthy's quest for the speakership, explained: ","politics"
"13","Compelling argument that the problem with the Galactic Republic was the role of the Jedi: ","politics"
"14","You would enjoy the latest edition of our podcast! ","politics"
"15",".@VoxDotCom is looking for a 2016 campaign writing fellow: ","politics"
"16","How a team of prison inmates beat Harvard at a debate: ","politics"
"17","Democratic congressman creates Craigslist ad for speaker of the House position: ","politics"
"18","""I've never been so disgusted by my own data,"" says author of study showing reactions to “black-sounding” names: ","politics"
"19","Would love to know what Boehner said to Ryan. ""I clearly hated this job. I am fleeing this building. But you — you're gonna love it!""","politics"
"20","The House Republican leadership crisis, explained: ","politics"
"21","Tanned. Rested. Ready. Romney.  ","politics"
"22","There's a rules-based explanation for why the House GOP has become such a shitshow: ","politics"
"23","Mitt Romney specialized in turning around failing organizations. He should be speaker. ","politics"
"24","This is a very good financial reform plan form Hillary Clinton: ","politics"
"25","Paul Ryan doesn't want to be speaker of the House. Republicans should elect him anyway: ","politics"
"26","The House Republican leadership crisis, explained: ","politics"
"27","This is the brokered convention of congressional politics: ","politics"
"28","That actually is pretty funny: ","politics"
"29","Why speaker of the House is the worst job in Washington: ","politics"
"30","Read @dylanmatt on the idea that there huge swaths of the country avoid paying taxes: ","politics"
"31","@binarybits @alpert @mattyglesias Hot take: there is absolutely no way American democracy can survive the heat death of the universe","politics"
"32","Rupert Murdoch thinks Obama’s critics from the black left would prefer Ben Carson. Um...  ","politics"
"33","What bike commuting looks like in 12 major cities: ","politics"
"34","The average Indian is about as rich today as the average American was in 1881: ","politics"
"35","Did not expect that the politician the Select Committee on Benghazi would utlimately take down would be...Kevin McCarthy","politics"
"36","Kevin McCarthy pulls out of speaker race, throws GOP into chaos: ","politics"
"37","Republicans need Paul Ryan to run for speaker: ","politics"
"38","Going to reup my theory of how politics is changing given this McCarthy news...insiders do not see a bright future: ","politics"
"39","@jonathanchait One of my dogs pooped on a doormat today after waking me up by vomiting at 5am. I may fire her like an Erick Erickson.","politics"
"40","@jonathanchait CUTS A BIT TOO CLOSE TO HOME, JON","politics"
"41","Who fires dogs?  ","politics"
"42","Why Clinton's  TPP opposition unnerves me: ","politics"
"43","This graphic showing which countries are richer today than America was in the 1800s is nuts:  ","politics"
"44","The Myers-Briggs test is total bullshit: ","politics"
"45","It it worth taking probiotics? Here's what the science says: ","politics"
"46","Bobby Jindal's tax plan is just....whoa.  ","politics"
"47","Why Clinton’s TPP opposition unnerves me ","politics"
"48","The Last Testament of @dick_nixon: ","politics"
"49","Pretty much: ","politics"
"50","Hillary Clinton's flip-flop on the TPP makes no sense: ","politics"
"51","Love these probability drawings from @BenOrlin: ","politics"
"52","What the Nobel prize in chemistry was awarded for, explained: ","politics"
"53","Vox is looking for a staff writer in our culture section...come work with @tvoti and explain all the stuff! ","politics"
"54","Google has a new plan to speed up the mobile web: ","politics"
"55","This is such a beautiful video by @joeposner: ","politics"
"56","1 in 6 Americans now live in a state where physician-assisted suicide is legal: ","politics"
"57","Everyone is a hero when the mass shooting is only taking place in their imagination: ","politics"
"58","Why the World Bank is changing its definition of the word ""poor"": ","politics"
"59","Paul Farmer on Ebola. Self-recommending, as @tylercowen would say: ","politics"
"60","Why the Cadillac tax is in trouble: the arguments against it are simple, the arguments for it are not ","politics"
"61","No, depressed American towns do not look like Zimbabwe: ","politics"
"62","@sokane1 @voxdotcom I've dreamed about this for so long...","politics"
"63","10 days left to apply for @VoxDotCom's Spring internships. Come work with us! ","politics"
"64","@davidlsims @GrahamDavidA Speaking of authenticity, @awprokop wrote that great post, not me!","politics"
"65","Why Marco Rubio is insisting that his massive tax cuts will pay for themselves, explained: ","politics"
"66","Imagine how the press would react if Hillary Clinton did what Joe Biden just did: ","politics"
"67","The Star Wars Galactic Senate needed a minority party:  ","politics"
"68","More seriously, that Hillary argument is a good example of how gridlock will lead to more powerful presidents: ","politics"
"69","Trying to imagine what would happen if Hillary Clinton made this argument for her candidacy: ","politics"
"70","Fantastic piece on America's frustratingly predictable debate over guns:  ","politics"
"71","Why Facebook is, bizarre as it sounds, an underrated company:  ","politics"
"72","The bombing of Doctors Without Borders is a horrible accident, but also a consequence of the kind of war we've chosen ","politics"
"73","If America had the UK's rate of gun death, 32,909 fewer people would die from guns yearly: ","politics"
"74","New research suggests we've been overestimating the effectiveness of our best treatments for depression: ","politics"
"75","How Trevor Noah’s Daily Show changed over its first week, in 5 clips: ","politics"
"76","The point of a health-care system isn't to spend as little money as possible on it: ","politics"
"77","Interesting idea on how to close the gun show loophole through exec action by Hillary Clinton:  ","politics"
"78","The more I read about Twitter's problems, the more those problems actually seem to be Wall Street's problems:  ","politics"
"79","Best Hillary Clinton email yet: ","politics"
"80","""DC political pundits remain by far Putin's most loyal fan base outside the former Soviet Union"" ","politics"
"81","humansofny's refugee series is so heartbreaking, and so worth seeing: ","politics"
"82","Why Elizabeth  Warren should make a late entry into the presidential race: ","politics"
"83","""political science wins when things go haywire"" ","politics"
"84","Next you're going to tell me the Pope is Catholic... ","politics"
"85","3 destructive things you learned in school without realizing it:  ","politics"
"86","Persuasive piece by @mattyglesias that it's Warren, not Biden, who should make a late entry into the race:  ","politics"
"87","This is not how charts work! ","politics"
"88","We've got a lot of open jobs at @voxdotcom. Come work with us! ","politics"
