"","user","type"
"1","Come meet @TheFoodLab tomorrow at @Litquake! San francisco's Z-space at 11:15AM.  http://t.co/QFT4pXPLo9","food"
"2","Will the world's most precise griddle replace sous-vide? @thefoodlab tests the @cindercooks http://t.co/5H0rRFUpyb http://t.co/jPZjyrFhnm","food"
"3","Say goodbye to mushy and rubbery shrimp. 3 easy techniques to improve any shrimp recipe. http://t.co/CCt0Q9yruU http://t.co/xVpLwFaS4t","food"
"4","In which we tried every flavor of @cheezit crackers http://t.co/u44OpunIp8 http://t.co/Aym2VztHa2","food"
"5","Getting crispy pan-roasted fish skin is all about learning to manage heat and moisture. http://t.co/zmFCd4bN1K http://t.co/Yv6kHAgBWt","food"
"6","What's it really like to do a cookbook tour? ""Eat Mexico"" author @lesleytellez shares all http://t.co/rABBvGvV2y http://t.co/Lx6K7DrKGu","food"
"7","Leeks, beets, sunchokes—remember those? Here are 18 fresh salads to help you revel in fall. http://t.co/kk6dYNEyGm http://t.co/LYnJtjYnjn","food"
"8",".@thefoodlab's stovetop macaroni and cheese is just as fast as the blue box but way better. http://t.co/goWAWFz5lP http://t.co/OSUgTfsSpN","food"
"9","Spice up Sunday Funday with this beer and hot sauce-spiked queso dip http://t.co/0G7IKC8OsV #sponsored http://t.co/g7jBefELab","food"
"10","@FartSandwich errr yup. yup yup yup. that's correct! thanks dennis!","food"
"11","The 10 dishes that'll make you fall in love with Georgian food (and we're not talking Atlanta) http://t.co/XtjgVAfPIm http://t.co/do7A5Hjjw2","food"
"12","Hey San Francisco! Come meet @TheFoodLab tonight at The Booksmith's Second Act, 7:30pm. Free to the public! http://t.co/ZlrzicvGPs","food"
"13","From Our Partners: First 10 RTs of this tweet get free tickets to Motto wine tasting 10/13! https://t.co/PXl0SRMWdA #whatsyourmotto","food"
"14","We're stoked to have @keithpandolfi joining Serious Eats as Senior Features Editor. Welcome Keith!","food"
"15","Scared to make fish stock? Don't be: Under water, the fish don't stink. http://t.co/zMCE8A9HM0 http://t.co/SJ4gPPVBtx","food"
