"","user","type"
"1","The FBI Hates This Band &amp; Other Tales of Culture Crackdown (1989) http://t.co/lU6C3NPeF7 #longreads http://t.co/vRtxYAie8b","music"
"2","PWR BTTM Feel 'Less Alone' Making Glitter-Coated Queer Punk http://t.co/c2AfO4ieEb","music"
"3","It Was Sun and Skin at @MykkiBlanco's at Riis Park Show  http://t.co/nDYkxlgFUM http://t.co/CWVIKLp9N0","music"
"4","Ten Artists You Can't Miss at Afropunk Festival 2015 http://t.co/nBVuFaauiD","music"
"5","How Calexico Burritos and Healthy Anger Fueled Total Makeover's Debut EP http://t.co/XpI6gsGpi8","music"
"6","Adia Victoria Stares Down the Corrupt B Side of 'Southern Hell' http://t.co/4S771ZRMhH","music"
"7","Kip Moore Avoids the Mold of the 'Nashville Machine' on New Album http://t.co/6oEbrvpO1I","music"
"8","Lydia Lunch vs. New York: 'I Got More Fucking Energy Than the Whole City' http://t.co/MxS8Vtap29","music"
"9","Cakes da Killa's Afropunk To-Do List: 'Have Fun, Entertain People, and Get Them as Drunk as Possible' http://t.co/ddhxCm6KB9","music"
"10","When Christian America and the Cops Went Insane Over N.W.A, Rap, and Metal http://t.co/WQL6e0dbKx","music"
"11","Carly Rae Jepsen's Record Store Show Tops the Ten Best Concerts in New York This Weekend http://t.co/c7jiCUiOtI","music"
"12","After Working with Kendrick Lamar and Flying Lotus, Kamasi Washington Is Finally Releasing ‘The Epic’ http://t.co/sRbAQpoB5F","music"
"13","The 17 Hottest Heavy Metal Hot Sauces  http://t.co/YmvHim6o75 http://t.co/kBHW5Kmq43","music"
"14","Ask @AndrewWK: Is there really any 'party' in a political party? http://t.co/Flz1YSRko5 http://t.co/sStzg3a4Qv","music"
"15","Ten Artists You Can't Miss at @Afropunk Festival 2015  http://t.co/ddqainYt1v http://t.co/yRry3HRH2G","music"
"16",".@PWRBTTMBAND Feel 'Less Alone' Making Glitter-Coated Queer Punk  http://t.co/ZE6snNRE2i http://t.co/AhJEV7pBr8","music"
