"","user","type"
"1","Leeds Rhinos win the #GrandFinal, complete domestic #SuperLeague treble Leeds 22-20 Wigan ","sports"
"2","#nonleagueday - Stunning goals, power cuts and...spilt chocolate milk?! ","sports"
"3","Will Wales be singing in the rain?Follow the key #EURO2016 qualifier right here #BiHvWAL ","sports"
"4","Try for 20yr old Josh Walters in his 1st #GrandFinalSinfield puts Leeds 22-20 up v Wigan ","sports"
"5","Italy have booked their place at #EURO2016.Here's how they did it... ","sports"
"6","Bernard Foley kicks #AUS through as Pool A winners.Here's the report v #WAL  #AUSvWAL ","sports"
"7","Turnaround.Matty Bowen converts his own try to put Wigan 18-16 up v Leeds #GrandFinal ","sports"
"8","Dom Manfredi plucks the ball from Ryan Hall to score the first try of the 2nd half. Leeds 16-12 Wigan #GrandFinal","sports"
"9","Netherlands are still alive (just) in their quest to reach the #EURO2016 playoffs Report ","sports"
"10","Wales finish 2nd in Pool A &amp; play South Africa in QF. Pool winners Australia face Scotland. ","sports"
"11","apologies, Sinfield.","sports"
"12","HT Leeds Rhinos 16-6 Wigan WarriorsWho'll prevail in the second half of the #GrandFinal?","sports"
"13","Danny McGuire is in for his 2nd try.Sinfiled puts Leeds 16-6 up v Wigan #GrandFinal ","sports"
"14","A huge night for Wales in #EURO2016 qualifying.One point would do it...  Live #BiHvWAL ","sports"
"15","FT: AUS 15-6 WALBernard Foley scores all 15 points as Australia finish top of Pool A.","sports"
"16","Latest from the #RussianGP with @LeeMcKenzieTV &amp; Eddie Jordan @BBCNews 18:45 BST or here ","sports"
"17","SIN BINA deliberate knock-on sees Alex Cuthbert leave the match early. #AUSvWAL 15-6","sports"
"18","Leeds go ahead through a Joel Moon try. Big call. Rhinos 10-6 Wigan Warriors #GrandFinal ","sports"
"19","Australia move 15-6 ahead with Bernard Foley's fifth penalty. #AUSvWAL #RWC2015 #bbcrugby","sports"
"20","Can Wales breach an incredible Australia defence? 10 minutes left. #AUSvWAL 12-6 #bbcrugby","sports"
"21","SIN BIN X2Dean Mumm joins Will Genia on the sidelines. #AUSvWAL 12-6, but it's 13 men v 15","sports"
"22","Leeds respond almost immediately through Danny McGuire.Sinfield converts. 6-6 #GrandFinal  ","sports"
"23","From the lows of depression to new heightsA tale of survival on #WorldMentalHealthDay ","sports"
"24","SIN BINAustralia down to 14 men after Will Genia's cynical foul. #AUSvWAL 12-6","sports"
"25","Joe Burgess, in his final Wigan appearance, opens the #GrandFinal scoringLeeds 0-6 Wigan ","sports"
"26","The #SuperLeagueGrandFinal is under way.@leedsrhinos v @WiganWarriorsRL on @5liveSport ","sports"
"27","Taulupe Faletau goes high with a tackle &amp; Bernard Foley kicks a 4th penalty. #AUSvWAL 12-6","sports"
"28","A sending off after the whistle, a comeback &amp; a hat-trickJust a quiet day in Cambridge... ","sports"
"29","HTThree penalties from Bernard Foley give Australia a 9-6 lead at the break. #AUSvWAL","sports"
"30","#SuperLeagueGrandFinal Who will lift the trophy in their final game for their club?","sports"
"31","Penalties all the way. Bernard Foley's third effort makes it 9-6 to Australia.#AUSvWAL","sports"
"32","Australia's lead lasts less than a minute before Dan Biggar makes it 6-6 (34 mins) #AUSvWAL","sports"
"33","@pteronaut Apologies. Fixed now. ","sports"
"34","Carlos Sainz's car was in a bad way in Sochi. Thankfully he's ok.Full story #RussianGP ","sports"
"35","Bernard Foley kicks his second penalty to take Australia ahead. #AUSvWAL 6-3 #RWC2015 ","sports"
"36","PENBernard Foley makes it 3-3 after 25 mins at Twickenham. Tight and tense.#AUSvWAL ","sports"
"37","A good start for Wales as Dan Biggar's penalty gives them a 3-0 lead. #AUSvWAL #RWC2015 ","sports"
"38","October 10 - Welsh sports greatest day?#RWC2015 #EURO2016 ","sports"
"39","Next up in the #RWC2015 is #AUSvWAL. The winners top Pool A. Live text &amp; radio commentary: ","sports"
"40","""Matching Senna is unreal,"" says @LewisHamilton.#bbcf1 #F1 ","sports"
"41","1hr 30 until the #SuperLeagueGrandFinal Get fired up for @leedsrhinos v @WiganWarriorsRL ","sports"
"42","SCOTLAND INTO THE QUARTER-FINALS.They hold on to win. #SAMvSCO 33-36. #RWC2015 #bbcrugby","sports"
"43","NERVY FINISHMotu Matu'u try. Scotland need a win to advance.#SAMvSCO 33-36 (78 mins)","sports"
"44","TRYScotland close in on the QF. Greig Laidlaw's converted try.#SAM 26-36 SCO (75 mins)","sports"
"45","One for the memory box...Butland to make his first competitive start for England.","sports"
"46","Only 10 minutes left at St James' Park. #RWC2015#SAMvSCO 26-29. Can Scotland hang on?","sports"
"47","""We want the perfect 10...""But can England achieve it?","sports"
"48","PENGreig Laidlaw kicks Scotland ahead. Laidlaw has 19pts on his own.#SAMvSCO 26-29","sports"
"49","PENIt is 26-26 after Greig Laidlaw's 51st-minute penalty. Which way will it go? #SAMvSCO","sports"
"50","Favourite Air Force Blue wins Dewhurst Stakes at Newmarket.","sports"
"51","A breathless, thrilling 1st half, but Scotland have work to do. #RWC2015#SAMvSCO 26-23 ","sports"
"52","A CRAZY GAME.Samoa restore their lead with Tusi Pisi's penalty. #SAMvSCO 26-23 (38 mins).","sports"
"53","Rafael Nadal to face Novak Djokovic in China Open final.#bbctennis ","sports"
"54","TRYThe 14 men of Scotland level. John Hardie with the try. Thrilling. #SAMvSCO 23-23","sports"
"55","SIN BINScotland a man down after Ryan Wilson lashes out. #SAMvSCO 23-16.#RWC2015","sports"
"56","PENSimple for Greig Laidlaw in front of the posts.#SAM v SCO 20-16 (25 mins) #RWC2015","sports"
"57","TRYDisaster for Scotland. Rey Lee-Lo dives over in the corner. #SAMvSCO 20-13 (22 mins)","sports"
"58","WHAT A GAME.Samoa score another try. The third in the match in five mins.#SAMvSCO 15-10 ","sports"
"59","Frantic in Newcastle. A try for both sides within two minutes of each other. #SAMvSCO 10-10","sports"
"60","PENALTYNot the start Scotland wanted as Tusi Pisi puts Samoa 3-0 ahead. #SAMvSCO ","sports"
"61","It is nearly time. Scotland need a win for a quarter-final place #RWC2015. #SAMvSCO. Live: ","sports"
"62","This race could be big for him...Full story of #RussianGP qualifying: #bbcf1 ","sports"
"63","A 'cracking' idea?Football club offers free box of eggs to fans... #nonleagueday","sports"
"64","Nico Rosberg takes pole at the #RussianGP, his third of the season. Live reaction: #bbcf1 ","sports"
"65","Rafael Nadal beats Fabio Fognini to reach China Open final.#bbctennis ","sports"
"66","Cap landmarks for Scotland duo.Will they secure a quarter-final spot?#RWC2015 ","sports"
"67","England coaches Andy Farrell and Graham Rowntree have been banned from the dressing room.","sports"
"68","Uefa president Michel Platini appeals against 90-day Fifa ban.","sports"
"69","#F1 boss Bernie Ecclestone says Red Bull are ""having a good think"" about their future. ","sports"
"70","Carlos Sainz uninjured after heavy crash.Watch: #RussianGP #bbcf1 ","sports"
"71","England backroom staff and management spend a day leading horses around a field. #RWC2015 ","sports"
"72","From #PremierLeague to non-league - Julio Arca on his life at South Shields #nonleagueday ","sports"
"73","Watch live #RussianGP qualifying with @suziperry live on @BBCOne  &amp; @BBCSport website now: ","sports"
"74","Wigs, free beers &amp; 'priceless' tickets for fansWho are you supporting on #nonleagueday? ","sports"
"75","Who will go furthest at #EURO2016? #bbcfootball ","sports"
"76","Still got it!Beckham: ""My last goal was in a Dads vs Teachers game""Watch: #bbcfootball ","sports"
"77",".@MCFC striker Sergio Aguero is set to be out for a month because of a hamstring injury.","sports"
"78","Goalkeeper Shay Given will miss the Republic of Ireland's vital tie v Poland on Sunday.","sports"
"79","England's Matthew Fitzpatrick is joint leader of the British Masters  after two rounds.","sports"
"80","Inverness Caledonian Thistle reject an approach from Dundee United for boss John Hughes.","sports"
"81","Rafael Nadal and Novak Djokovic move into the semi-finals of the China Open.","sports"
"82","Spain and Switzerland are the latest two nations to qualify for @EURO2016. ","sports"
"83","Roy Hodgson: ""We had to work hard for the win. We were really good value. I'm satisfied."" ","sports"
"84","Easy for the @AllBlacks as they beat Tonga 47-9 to finish top of Pool C. #RWC2015 #NZLvTGA","sports"
"85","Goals from Theo Walcott and Raheem Sterling as England maintain 100% run. #ENGvEST (2-0) ","sports"
"86","GOAL (2-0)Raheem Sterling slides in to score at the back post after a low cross from sub Jamie Vardy.#ENGvEST ","sports"
"87","England still lead 1-0 v Estonia with 20 mins left at Wembley. #ENGvEST Live commentary: ","sports"
"88","West Ham will not have to pay cleaners or lighting or heating costs at the Olympic Stadium. ","sports"
"89","DOUBLE SAVEAdam Lallana &amp; Harry Kane are denied, as England lead 1-0 (54 mins).#ENGvEST ","sports"
"90","#RWC2015@AllBlacks in charge at Newcastle at HT and are 14-3 ahead. #NZLvTGA Live: ","sports"
"91","Theo Walcott's 7th goal in 9 games for club &amp; country gives England a 1-0 HT lead. #ENGvEST ","sports"
"92","GOAL: #ENGvEST 1-0 (Theo Walcott).The Arsenal forward slides the ball in after a great pass from Ross Barkley.","sports"
"93","CHANCETheo Walcott's shot is deflected just wide after James Milner's pass.#ENGvEST 0-0 ","sports"
"94","#RWC2015 @AllBlacks 7-0 up v Tonga after 20 mins after Ben Smith's converted try. #NZLvTGA ","sports"
"95","Stand-in England captain Gary Cahill heads wide from a corner. 0-0 after 30 mins. #ENGvEST ","sports"
"96","Bad news @MCFC fans. Spain midfielder David Silva limps off during the match v Luxembourg. ","sports"
"97","Raheem Sterling cuts on to his right foot but curls one wide from 20 yards. #ENGvEST 0-0. ","sports"
"98","0-0. England's Barkley has shot at the keeper &amp; Lallana has fired off target. #ENGvEST ","sports"
