"","user","type"
"1","Telugu film #Rudhramadevi - USA: Thu previews $ 126,277, Fri $ 179,631. Total: $ 305,908 [₹ 1.98 cr]. @RentrakIndia","movies"
"2","#Talvar [Week 2] Fri 1.50 cr. Total: ₹ 17.05 cr. India biz. ROCK-STEADY!","movies"
"3","#Jazbaa Fri ₹ 4.23 cr. India biz... Biz gathered momentum towards evening/night shows... Expect an upward trend on Sat.","movies"
"4","Many happy returns of the day to @AshviniYardi . Wishing you health, happiness and peace. Stay blessed!","movies"
"5","Many happy returns of the day to the man with the Midas touch @ssrajamouli ji. May you continue to conquer new peaks and set new benchmarks.","movies"
"6","Good morninggg... Have a super weekend... Sharing a wonderful thought... http://t.co/DGhbc3xmAY","movies"
"7","Telugu film #Rudhramadevi - USA: Thu previews $ 126,276 [₹ 81.70 lacs]. @RentrakIndia","movies"
"8","Check out the first look poster of Punjabi film #MukhtiarChadha. Stars Diljit Dosanjh. Releases 27 Nov 2015. http://t.co/zRBCiHRET0","movies"
"9","#Jazbaa embarks on a STRONG start in UAE and GCC. Collects AED 450,000 [₹ 79.32 lacs] on Thu.","movies"
"10","Salman Khan's look #Sultan #Eid2016 #YRF http://t.co/GPCFCMxo96","movies"
"11","#Talvar Thu pre 50 lacs, Fri 2.50 cr, Sat 2.70 cr, Sun 3.30 cr, Mon 1.60 cr, Tue 1.65 cr, Wed 1.65 cr, Thu 1.65 cr. Total: ₹ 15.55 cr.","movies"
"12","#Talvar had VERY GOOD trending on weekdays. Biz remained consistent from Mon to Thu thanks to strong word of mouth... contd.","movies"
"13","#Talvar Thu pre 50 lacs, Fri 2.50 cr, Sat 2.70 cr, Sun 3.30 cr, Mon 1.60 cr, Tue 1.65 cr, Wed 1.65 cr: Total: ₹ 13.90 cr. ROCK-STEADY!","movies"
"14","#Jazbaa certified 12A by British censors on 7 October 2015. Approved run time: 119 min 2 sec.","movies"
"15","1.1 million / 11 lacs... A big hug to my large Twitter family. Thank you for your love and support! http://t.co/9eXq850vTQ","movies"
"16","Lovely song! Check out the first song from #PremRatanDhanPayo - 'Prem Leela'. http://t.co/gQ2UDA1sEw","movies"
"17","#Jazbaa also boasts of two stellar performances: Irrfan [outstanding] and Shabana Azmi [remarkable]. Two major strengths of this film.","movies"
"18","Aishwarya makes a stunning impact, conveying a gamut of emotions [grief, strong-willed, determined] with aplomb. Finest work so far. #Jazbaa","movies"
