"","user","type"
"1","@ayisha Thank you.","music"
"2","DIIV's Zachary Cole Talks Arrest, Addiction... http://t.co/6nJziwVC89","music"
"3","Watch: 10-Year-Old Adorably Shreds Slayer... http://t.co/ldaAzrhvzv","music"
"4","Listen to Karen O's First Song Off Her Solo LP... http://t.co/yRfUs8lRmc","music"
"5","The Other, Tolerable, Side of Ibiza's Music Scene... http://t.co/lZwyC9tVQW","music"
"6","Could This Be the Soundsystem of the Future? http://t.co/ASrRNUSXn6","music"
"7","Nas Documents His Life in 20 Songs... http://t.co/egApE6eI6r","music"
"8","We're Surprised It Took Someone This Long to Turn Nicki Minaj Into a Cartoon... http://t.co/drrYPZ45ye","music"
"9","Nas Documents His Life in 20 Songs... http://t.co/lMu0JlqHIJ","music"
"10","We're Surprised It Took Someone This Long to Turn Nicki Minaj Into a Cartoon... http://t.co/Bztz9kMtN8","music"
"11","Pussy Riot Members Take the Kremlin to Court... http://t.co/LZBwNVGzgi","music"
"12","Childish Gambino Calls Out Peers In Own 'Control'-Esque Offensive... http://t.co/hj3On8yf7Z","music"
"13","If Anyone Besides Morgan Freeman Narrated a Juggalo Doc, We'd Be Extremely Disappointed... http://t.co/B2VDTUCMqs","music"
"14","Bobby Shmurda Isn't Good for Hip-Hop... http://t.co/veFP80jvDk","music"
"15","FKA Twigs: From Backup to Main Attraction... http://t.co/cuwREcxo4g","music"
"16","Flying Lotus Announces Next Album, 'You're Dead!'... http://t.co/KlDh0H3Tel","music"
"17","Kendrick Lamar Has 40 Songs Ready for Next Album; Dr. Dre's In There, Too... http://t.co/lFtq628zt5","music"
"18","700 Indies Band Together to Launch 'Fair Digital Deals' Campaign... http://t.co/xVNbSK6SFJ","music"
"19","David Bowie Hints at New Music... http://t.co/NujQfaZUMh","music"
"20","700 Indies Band Together to Launch 'Fair Digital Deals' Campaign... http://t.co/ufPrDaJUlQ","music"
"21","David Bowie Hints at New Music... http://t.co/UhzOxRokAC","music"
"22","@Wzzy ugh *cleans out closet*","music"
"23","The Shitty Reason Why Tool Hasn't Released an Album in Eight Years... http://t.co/2QhwA8vSBV","music"
"24","Ok, We Missed 'Weird Al'; Check Out Robin Thicke Parody 'Word Crimes'... http://t.co/QMCj9GmAYl","music"
"25","@gerbean99 Hey, they make great wine, ok?","music"
"26","Polaris Prize Shortlist Announced... http://t.co/s0GFZKIQWj","music"
