"","user","type"
"1",".@Wallabies beat @WelshRugbyUnion to set up an epic quarterfinal battle vs. @Scotlandteam! http://t.co/id9klxD09D http://t.co/iyPfBmynAG","sports"
"2",".@Scotlandteam advances to #RWC2015 quarterfinals after huge win vs. @manusamoa. Highlights: http://t.co/f7iCASIfly http://t.co/STARPhjJ3A","sports"
"3","Ok, we see you @AllBlacks. New Zealand with another dominating performance at #RWC2015. http://t.co/o0ZKK7hIJh http://t.co/1zAMh35W22","sports"
"4",".@AllBlacks vs. @officialTongaRU are about to play their #RWC2015 match in an hour! Preview: http://t.co/YOawkj3fny http://t.co/0ISIr7rsY5","sports"
"5","Congratulations to @gwenjorgensen for winning @TeamUSA's Best of September! Who else won? http://t.co/iSv5CGXLWL http://t.co/MGFJX0RETK","sports"
"6","What are the best #RWC2015 matches left? Who has knockout round spots on the line? Find out: http://t.co/YAwsRxXOxS http://t.co/aobMAgRgkh","sports"
"7","Find out how to get these iconic ""Cutters"" jerseys to help support World Bicycle Relief! http://t.co/EZknXqh3bl http://t.co/MQF6HewBvi","sports"
"8","Rio is cutting costs for the #2016SummerOlympics due to Brazil's major economic recession. http://t.co/XYysK6grxC http://t.co/nKrVsHxOao","sports"
"9","BREAKING: Universal Sports will offer TV and digital PPV pricing for #RWC2015 knockout round! http://t.co/9mkk1H9w89 http://t.co/GiydLHIaYO","sports"
"10","#LanceArmstrong's physician is trying to halt distribution of a film on the disgraced cyclist http://t.co/CkInxiGMlW http://t.co/LhJJVtGc5f","sports"
"11",".@Rio2016_en's brand new golf course is now real, and it is spectacular. #Rio2016 http://t.co/0y98QIj9mW http://t.co/4PyDak0wok","sports"
"12",".@usainbolt accepts a race challenge from an 8-year-old YouTube sensation on @TheEllenShow! http://t.co/n5bgsl3JfM http://t.co/B8E33uZ4vf","sports"
"13",".@Springboks wing @BryanHabana ties record of 15 #RWC tries; team advances to quarterfinals! http://t.co/RLBrbiBWum http://t.co/gcPTzoYdME","sports"
"14","@weirdo0521 Yes!","sports"
"15","BREAKING: Universal Sports will televise the @ChiMarathon LIVE this Sunday at 8:30 AM ET! http://t.co/UF4cPr0XCy http://t.co/qdKegxbABu","sports"
"16","Oh boy: who's ready for @USARugby vs. @Springboks? The LIVE coverage for the #RWC2015 elimination game begins 11 AM ET on Universal Sports!","sports"
"17","""It is not what the coach knows; it is what his players have learned"" -Winston Churchill. #NationalCoachDay http://t.co/8bR3neBuT8","sports"
"18","@kvanz55 and @Kimdicello are repping #TeamUSA in the #PuertoVallartaOpen this week! http://t.co/Xg96dqEASI","sports"
"19","@summernoelross and @LaneCaricoVB are repping #TeamUSA in the #PuertoVallartaOpen this week! http://t.co/Xg96dqEASI","sports"
"20","@estock2 and @SkillVB are repping #TeamUSA in the #PuertoVallartaOpen this week! http://t.co/Xg96dqEASI","sports"
"21","@Amanda_Dowdy and #HeatherLeeMcGuire are repping #TeamUSA in the #PuertoVallartaOpen this week! http://t.co/Xg96dqEASI","sports"
"22","@CaitlinLedoux and @Irene__Pollock are repping Team USA in the #PuertoVallartaOpen this week! http://t.co/Xg96dqEASI","sports"
"23","@JenniferFopma and @britthochevar are repping Team USA in the #PuertoVallartaOpen this week! http://t.co/Xg96dqEASI","sports"
"24","@RyanDVolley and #JohnMayer are repping Team USA in the #PuertoVallartaOpen this week! http://t.co/Xg96dqEASI","sports"
"25","@PhilDalhausser and #NicholasLucena are repping Team USA in the #PuertoVallartaOpen this week! http://t.co/Xg96dqEASI","sports"
"26","@johnhyden and @TriBourne are repping Team USA in the #PuertoVallartaOpen this week! http://t.co/Xg96dqEASI","sports"
"27",".@usavolleyball brings a strong field to the #PuertoVallartaOpen for the 2016 #FIVBWorldTour! http://t.co/Xg96dqEASI http://t.co/BYncJZc3PE","sports"
"28","Never give up! @RugbyRomania silenced the doubters in the biggest comeback in #RWC history! http://t.co/D6k6yxprRS http://t.co/vpUVHcztIE","sports"
"29","@seandcrane You are able to stream all RWC matches in HD on your laptop/desktop/tablet! Visit http://t.co/i1TAYlPeRj for more info!","sports"
"30","Is @OscarPistorius being treated unfairly by South African authorities? His family thinks so. http://t.co/VtnOuVEX3L http://t.co/TIEXj0rnmc","sports"
"31",".@fijirugby's Manasa Saulo suspended for 10 weeks after stamping on opponent's head. #RWC2015 http://t.co/W16NC8wrJF http://t.co/zGbhb8jCBZ","sports"
"32","#MotivationMonday http://t.co/GeMGS6DcHS","sports"
"33","After a shocking loss to start #RWC2015, @Springboks want to end doubts with strong finish. http://t.co/jpWLESKRiC http://t.co/vAc4mXZvaE","sports"
"34",".@usainbolt seemed to have an awesome time at #Oktoberfest, and even sang ""We Will Rock You."" http://t.co/C6yIEKPMEO http://t.co/UnhhTBFYtD","sports"
"35",".@USARugby needs a win over @Springboks this Wednesday to keep its #RWC2015 hopes alive. http://t.co/AybX0qkp97 http://t.co/GDHOf7NfEY","sports"
"36","ICYMI: @PhilDalhausser and #NickLucena won the silver at #SwatchWTFinalsUSA! Go USA! http://t.co/JerpciyIh7 http://t.co/H6VieSdPQU","sports"
"37","Smile and clap @IrishRugby, you're moving on to the #RWC2015 quarterfinals! Highlights here: http://t.co/h6O4R5zoYI http://t.co/TRUcUH5zeu","sports"
"38","What a shocker! Host @EnglandRugby gets knocked out of #RWC2015 after losing to @Wallabies. http://t.co/3VK0ehwCpU http://t.co/lbptwB1rpi","sports"
"39",".@Springboks defeat @Scotlandteam to keep #RWC2015 dream alive. Recap and highlights here: http://t.co/AG5F0rwAQD http://t.co/CZOaPQMFya","sports"
"40","After a convincing win, @JRFURugby is eyeing the #RWC2015 quaterfinals, its first ever! http://t.co/eMMEpGCNR7 http://t.co/CUD8HvTSWM","sports"
"41","Congratulations to the @AllBlacks for becoming the first team in the #RWC2015 quarterfinals! http://t.co/rlTJ6ZJ9m7 http://t.co/19V0oBFVUM","sports"
"42","Tune in to Universal Sports Network at 3 PM ET to watch the #SwatchWTFinalsUSA women's quarterfinals LIVE. http://t.co/MBk7jEfwJ4","sports"
