"","user","type"
"1","Real stories so good, Hollywood told them twice: http://t.co/0H05Ypebug","fashion"
"2","The bride @baibakovart wore a show-stopping @GiambattistaPR wedding gown constructed of 300 meters of frothy tulle: http://t.co/h7QQuEllQ2","fashion"
"3","Just when you think you know everything there is to know about Chuck Close, he turns around and surprises you: http://t.co/YNk3eX7DXV","fashion"
"4","Cate Blanchett tries out fashion's embroidered faux-tattoo trend: http://t.co/bzxRBg6F8B","fashion"
"5","Is UberPool the new Tinder? http://t.co/jd4A4s44TF","fashion"
"6","Why fall might be the best season to get hitched: http://t.co/3BgQtyMVC5","fashion"
"7","Dermatologist @DrLisaAiran settles the ‘Should You or Shouldn't You’ eye-cream debate: http://t.co/28LMCdbyHY","fashion"
"8","The streets of Fashion Week were painted pink this season: http://t.co/RIeXSv3OE6","fashion"
"9","The pant suit has never looked this cool: http://t.co/59I6SBE2KR","fashion"
"10","A woman has never truly led a Marvel movie. Is that about to change with Ant-Man and the Wasp? http://t.co/h4sT0BF19D","fashion"
"11","What's in a @Disney princess makeup bag? http://t.co/8EagB1ZYSR","fashion"
"12","100 wedding day options from the #ss16 runways for every type of bride: http://t.co/e82WqlN461","fashion"
"13","Is this the anti-trend trend? http://t.co/STeT6jB4bc","fashion"
"14","11 of the best @gucci street style moments this season: http://t.co/RHqSNQ54EZ","fashion"
"15","13 life lessons I learned from Emily Gilmore: http://t.co/60z8Rr7LGr","fashion"
"16","How @GrayMalin's nude beach photo is spicing things up in the kitchen: http://t.co/wrISBQX29M","fashion"
"17","After a 10-year hiatus, ’80s favorite Sybilla returns to Paris Fashion Week: http://t.co/wM9QmAWh3N","fashion"
"18","Ballerina tulle takes the stage at @MIUMIUofficial: http://t.co/SiNKo7uOYW","fashion"
"19","This is the ultimate view of Paris Fashion Week: http://t.co/FTtadyyWeV","fashion"
"20","From Sailor Moon to Evangelion–the secret anime muses behind Louis Vuitton’s new collection: http://t.co/1I09SUhLy2","fashion"
"21","8 things you should know about the new Steve Jobs film: http://t.co/NlMdUYLCNj","fashion"
"22","The story behind Miu Miu’s surreal runway soundtrack: http://t.co/VT8GnF3YBD","fashion"
"23","Florence Welch steps into the white-hot L.A. light: http://t.co/biNIprGlOV","fashion"
"24","The only pants you need this season–straight off the spring runways: http://t.co/yiep6XDLGn","fashion"
"25","Lapo Elkann takes car customization to a whole new level in Milan: http://t.co/YhWRQaSt0T","fashion"
"26","Is Moana the feminist @Disney princess we've been waiting for? http://t.co/dmUSXarO9F","fashion"
"27","Ciara has a knockout new chop: http://t.co/Ld701qxwOD","fashion"
"28","Calling all Pamela Anderson fans: http://t.co/sdc5dZv9H7","fashion"
"29","Tilda Swinton puts a polished spin on menswear dressing: http://t.co/Y8mJA6rZmR","fashion"
"30","How @emrata upgrades her blowout–no hairbrush necessary: http://t.co/vgk48CRtFj","fashion"
"31","The best celebrity street style at Paris Fashion Week: http://t.co/jN5iD3U1kF","fashion"
"32","10 things we loved on the last day of Paris Fashion Week: http://t.co/g1svEMI3oO","fashion"
"33","The 10 best collections we saw in Paris this season: http://t.co/zAFkGz5UNr","fashion"
"34","Happy birthday, Hanne Gaby! 8 style lessons from the cool-girl catwalker: http://t.co/lGHSfr6Iat","fashion"
