"","user","type"
"1","When we get a new @thingquarterly Ì†ºÌæ®‚öΩÔ∏è #MichelleGrabner #rebuttal #artistmultiple #joy https://t.co/goQQZZwpHi","arts"
"2","We talked to Iarla √ì Lion√°ird of the #Irish supergroup about tradition and creativity ‚Üí http://t.co/cVcfeLvHuG https://t.co/4VgTOdlkp5","arts"
"3","Colorful patchwork artists book unveiling. #KelieBowman, ""Untitled,"" 2013. #artistsbook https://t.co/s43rzBkTQh","arts"
"4","Neuroscience can't explain art (and why we make it), but maybe it can help us better understand human nature ‚Üí http://t.co/BHj9hgeFGI","arts"
"5","This is how we play, @MNChildMuseum! Let's all #PlayMoreMN Ì†ºÌæ®Ì†ºÌæ≠Ì†ºÌæ∏‚öΩÔ∏èÌ†ΩÌ∞û http://t.co/XEDm1p6iyc","arts"
"6","@papertimelady @brocarroll Yes, come say hi! (psssst, dftba)","arts"
"7","William Brittelle on post-genre electro-acoustic music, American spirituality &amp; more  ‚Üí http://t.co/R3AiGwyEQi http://t.co/bUHd4nVeYO","arts"
"8","Fighting bit rot and broken parts: how digital art curators save vintage data and hardware ‚Üí http://t.co/HK2NaosYm6 http://t.co/oF37Eog4Bq","arts"
"9","Big feelings in intimate spaces: an interview with Wye Oak‚Äôs Jenn Wasner ‚Üí http://t.co/42SpKlMhcc #WyeOak http://t.co/dhQslD1gWF","arts"
"10","Have an open afternoon? Catch a free (!) advance screening of ""Room"" today at 5 pm. Info ‚Üí http://t.co/QIsmsNlXcE http://t.co/2CKzAyAZwX","arts"
"11","Zooming in on #JackWhitten, ""Black Monolith, II: Homage to Ralph Ellison The Invisible Man,"" 1994. | #WhatTheySaw http://t.co/5dqBEKpeGN","arts"
"12","Artist Beverly Cottman is telling stories in the Jack Whitten galleries during Free First Saturday! #WhittenPainting http://t.co/FK42VikaBK","arts"
"13","Fall is here and we're loving seeing (and hearing!) school groups in the galleries. Ì†ºÌæ® Ì†ΩÌ≤≠ #artsed http://t.co/ORdZHgeKTZ","arts"
"14","Britni West's ""bleakly beautiful"" film ‚Üí http://t.co/UbYUgNWxNf
Screening this weekend ‚Üí http://t.co/fkxSIFheWK http://t.co/6tILl3RI0v","arts"
"15","LIVE on #Periscope: Davu Seru and Pat O'Keefe performing in the #WhittenPainting exhibition. #poetry #music https://t.co/lYigPFkGK4","arts"
"16","LIVE on #Periscope: Douglas Kearney performing in the #WhittenPainting exhibition. #poetry #painting https://t.co/YTBiI2gYJV","arts"
"17","LIVE on #Periscope: Deja Stowers performing in the #WhittenPainting exhibition. #dance #painting  https://t.co/hwDsmXPbPY","arts"
"18","Tonight: galleries come alive with dance, poetry, and music performances ‚Üí http://t.co/tMhlwEMVH6 #WhittenPainting http://t.co/cNoBmJE2tv","arts"
"19","""The Reader"" project asked artists to create narratives for women readers in paintings ‚Üí http://t.co/64WLSrkFLM http://t.co/wFHeMxXQGn","arts"
"20","Why do cat videos matter? Why does art matter? Why does anything? ""Cat Is Art Spelled Wrong"" explores ‚Üí http://t.co/qg3ZvGC1hG #catvidfest","arts"
"21","‚ÄúA lot of it is based on passion; the rest of it is based on balance."" Philip Bither on curatorial choices ‚Üí http://t.co/cl7B1twXnf","arts"
"22","Ralph Lemon, Philip Bither, and Sarah Michelson on curation and performance ‚Üí http://t.co/Af1vSsYQ4W @Triple_Canopy http://t.co/qkzDWsM8FM","arts"
"23","@happifydesign @britisharrows Ha! Ì†ºÌ∑¨Ì†ºÌ∑ß Ì†ΩÌ∫≤","arts"
"24","Show of hands! Are you a @britisharrows regular? How long? 5 years? 29?
Tix on sale soon ‚Üí http://t.co/Odlj0zyugC http://t.co/yiUejy3MxL","arts"
"25","#JMorganPuett's ""Scramble Scrabble Dinner"" uses food for a Fluxus-inspired @artassignment ‚Üí https://t.co/n9FWXt48hu http://t.co/rsaysXC5qu","arts"
"26","Can a MOOC be a work of art? An online course from @creativetimeNYC aims to both be &amp; teach socially-engaged art. ‚Üí http://t.co/9XUCA4bR6s","arts"
"27","#LaurieAnderson partners with former Guantanamo Bay detainee for newest work‚Äîblending film, sculpture, music, video ‚Üí http://t.co/7gHyn0NRtd","arts"
"28","@harrietofthedog Looks peaceful!","arts"
"29","We're in good company in @timeout New York's list of 26 Best Art #Museums in America ‚Üí http://t.co/pmVzFguy2A","arts"
"30","Jack Whitten on how #JohnColtrane and ""the philosophy of #jazz"" helped him develop his style ‚Üí http://t.co/1j8kfkmAXu #WhittenPainting","arts"
"31","‚ÄúThe question takes me forward‚Äù
#SarahMichelson on making #dance for the theater again ‚Üí http://t.co/E1EdQwbEiX http://t.co/J3EokxlSTF","arts"
"32","Inspired by #JohnCage, a GIF that will last for 1000 years ‚Üí http://t.co/wpXUGECF9Y http://t.co/EvK4yFCW72","arts"
"33","""Molecule"" is looking good in its temporary home in Gold Medal Park! #MarkDiSuvero #Minneapolis https://t.co/pptaACDF7Z","arts"
"34","11 Posters Celebrating 30 Years of the #GuerrillaGirls ‚Üí http://t.co/ZImdkqWPlF http://t.co/2R4owgu7hu","arts"
"35","Zooming in on Jack Whitten, ""Soul Map,"" 2015 on view in #WhittenPainting ‚ñ™Ô∏èÌ†ΩÌ¥π‚¨õÔ∏è‚ñ´Ô∏èÌ†ΩÌ¥∏Ì†ΩÌ¥≥ #WhatTheySaw http://t.co/XS6gsTOiiC","arts"
"36","Tonight's free painting workshop is just warming up. (Until 9 pm in the art lab.) #WhittenPainting http://t.co/bJJKC0T7k9","arts"
"37","Backsides is ""a parasitic poster exhibition"" that makes use of Britain's road signs ‚Üí http://t.co/a8iIuGGVri #design http://t.co/L0tJyLszNi","arts"
"38","Sneak peek at preparations for tomorrow's free Whitten-inspired workshop! http://t.co/cSgyHmn5Uk #WhittenPainting http://t.co/YZ8JlM2uIG","arts"
"39","@MySisterOrg @MySisterOrg Glad you had fun! Photos are here: http://t.co/mnMHLq5RCH and we'll be adding event photos in too.","arts"
"40","Artist #MayaLin sculpts an earthy runway for #PhillipLim's fashion show ‚Üí http://t.co/UAWrgw99gi #nyfw http://t.co/DUYNvAyntH","arts"
"41","@EvanCarpenter84 @GuthrieTheater Some rare lunchtime entertainment! A few sculptures being installed there during garden renovation.","arts"
"42","Watch a quick video of our #MarkDiSuvero ""Molecule"" sculpture being installed at Gold Medal Park! ‚Üì
https://t.co/2vAgh5icdU","arts"
"43","The Gloaming's Iarla √ì Lion√°ird talks creative process, the improvisatory moment, and unexpected musical influences ‚Üí http://t.co/cVcfeLvHuG","arts"
"44","""I felt that it was this profoundly ancient instrument."" Nat'l Medal of Arts winner #MeredithMonk's singular voice ‚Üí http://t.co/bSV9NCAY87","arts"
"45","""Cutting edge or gimmicky?"" @hyperallergic considers the world‚Äôs first Snapchat exhibition ‚Üí http://t.co/izpgriwT32 http://t.co/9ZEV57oJqK","arts"
"46","Mingling, eating, drinking, dancing, making art. Avant Garden 2015 is in full swing. #avantgarden15 http://t.co/HdC2WUKSZ2","arts"
"47","""We don‚Äôt have a map of the soul, and that intrigues me.‚Äù ‚ÄîJack Whitten | #WhittenPainting
https://t.co/btTJNvkRge","arts"
"48","@arden_sherman Do you mean like this?! http://t.co/5DGnE03KNV You can contact our archive about images to post ‚Üí http://t.co/rgsGj28N1x","arts"
"49","Cornell Boxes and Cake: a tale of meeting the ""wizardly"" #JosephCornell in 1967 ‚Üí http://t.co/go1KuYiPTY #tbt http://t.co/UJFsYxn5BH","arts"
"50","AnnoTate is a new crowdsourced tool to help transcribe artists' personal papers in the @Tate #archives ‚Üí  http://t.co/dpG9DXNUAN","arts"
"51","More #SolLeWitt (on his birthday). What does it take to install one of his line drawings? ‚Üí http://t.co/88GN60dcts http://t.co/v40bU0hBfI","arts"
"52","""You shouldn't be a prisoner of your own ideas."" Happy birthday to minimal artist #SolLeWitt, born #onthisday in 1928 http://t.co/5C8m10KObE","arts"
"53","Experiencing #architecture through 'Hippie Modernism' and retrospectives ‚Üí http://t.co/SPjnmp0JjT #HippieModernism http://t.co/0q6jkHUqKA","arts"
"54","#AnishKapoor sculpture at Versailles vandalized‚Äîthe racial slurs will remain as a reminder ‚Üí http://t.co/NkY3oDG7Xx http://t.co/EpfdeVrrwa","arts"
"55","Curiosity about a mysterious photo uncovers the story of a 1968 Walker teen art program ‚Üí http://t.co/nM8Kju0jyn http://t.co/c3lmV5YBwh","arts"
"56","Join us today for family fun in the #Minneapolis Sculpture Garden &amp; free gallery admission ‚Üí http://t.co/gFLj7lw84x http://t.co/eRAvdn4Qxk","arts"
"57","Someone created a #YokoOno Lego figurine in honor of her @MuseumModernArt retrospective ‚Üí http://t.co/mrxoxiDdtN http://t.co/fvucInaqmE","arts"
