"","user","type"
"1","Stefano Pilati has something to say about Pierre Bergé [sub]: http://t.co/uXXRbCOUvI http://t.co/Kya3d9NMdw","fashion"
"2","""Each garden has its own individual character"" http://t.co/T80MUsJjSl http://t.co/AStrQpaurj","fashion"
"3","Looking back at @MuseumofCityNY's fall benefit: http://t.co/rlfThu99uz http://t.co/jcEtNjjS0i","fashion"
"4","Patti Smith chats about new memoir with @esquire​ editor in chief David Granger: http://t.co/p79g4LbWTA http://t.co/oUt9WbMkaX","fashion"
"5","Weekly sales slump with holiday challenges ahead [sub]: http://t.co/K1i9quxadg","fashion"
"6",".@ladygaga's former private chef opens restaurant in Astoria: http://t.co/qzk1WUey8k http://t.co/2Vnf6w1mtf","fashion"
"7","Millennials are known for dressing down, but they are driving up the sales of hosiery [sub]: http://t.co/bJjeaxZo4b","fashion"
"8","#ICYMI @LOrealParisUSA appoints blogger @Kayture as brand ambassador: http://t.co/y004nDWzXH http://t.co/2F9RDtILqg","fashion"
"9","European markets down [sub]: http://t.co/pD4YWkLDI4","fashion"
"10",".@johnvarvatos to receive Fashion Care Award: http://t.co/ySnuFXVvUN http://t.co/siuAIMhxtV","fashion"
"11","Think you ""herd it all""? Sheep comedians kick off Britain's Wool Week: http://t.co/KJwQbnpVZK http://t.co/NBqUVzXsJs","fashion"
"12","Mobile influence strong during holiday season, but conversions lag [sub]: http://t.co/xhDzLwUNBT","fashion"
"13","Bombay Electric goes abroad for the first time: http://t.co/pBSZloukFT http://t.co/BkUu6cT6q7","fashion"
"14","Start off fall right with these top books: http://t.co/yutXLMEgzP http://t.co/nBp3AKidpD","fashion"
"15",".@M_Lhuillier presented a dreamy, enchanting fall lineup: http://t.co/IctxdoRATl http://t.co/9qUcRHmtWr","fashion"
"16","Stay updated with all the happenings at @TheNYFF: http://t.co/8iezFaZmTS http://t.co/XwOEbaWLrJ","fashion"
"17",".@VeraWangGang piles on the drama for fall in a playfully romantic fall bridal collection: http://t.co/Q1wgh1RSyZ http://t.co/PFrD79yp24","fashion"
"18","See the latest shows from Bridal Fall 2016: http://t.co/Dde85lVYZY http://t.co/xZv3jQENfX","fashion"
"19","Joel Horowitz, cochairman of Diane von Furstenberg, is no longer at the company [sub]: http://t.co/xSgngFJW4W http://t.co/atKR82Rqxv","fashion"
"20",".@MIT and @Harvard to help light up Fenway Park with Illuminus: http://t.co/ohQeWcsYYb http://t.co/Dx4sIMvJQ1","fashion"
"21",".@M_Lhuillier presented a dreamy, enchanting fall lineup: http://t.co/IctxdoA01N http://t.co/8HgKh6XhA6","fashion"
"22","Australia’s biggest swimwear brand @seafolly expands to the U.S. [sub]: http://t.co/XlWBlGJxrB http://t.co/rs13wPISZp","fashion"
"23",".@Reem_Acra delivers a strong yet seductive bridal collection: http://t.co/HkThKFMrpo http://t.co/7jTk7mQDoo","fashion"
"24","See what Tokyo is inspired by for #SS16: http://t.co/CGGQhhNhDv http://t.co/feEP2yRMu6","fashion"
"25","Good reads for fall: http://t.co/yutXLMEgzP http://t.co/oo5JMbSX0H","fashion"
"26",".@MichellePhan has left the @LOrealParisUSA building: http://t.co/J9nhWQO21p http://t.co/Gb5T3xGYh6","fashion"
"27","Your front row pass Bridal Fall 2016 is here: http://t.co/Dde85lVYZY http://t.co/0hxM1BJesU","fashion"
"28",".@HouseofHerrera channels calmness and serenity in her fall bridal collection: http://t.co/tFwSv0jsOd http://t.co/AuVwcfpMxL","fashion"
"29","Nothing but Hadids: http://t.co/7qc4IEAd98 http://t.co/FlID2nG3lx","fashion"
"30","Buenos Aires in the Fifties inspired @BadgleyMischka's glamorous fall bridal collection: http://t.co/qofW44Nuc8 http://t.co/7FpxN1QK3s","fashion"
"31",".@AnneBargeBride adorned her dresses with a feminine touch ideal for the traditional bride: http://t.co/ePLgzLEwcm http://t.co/VHkIzebRah","fashion"
"32","The trees in the The Four Seasons’ pool room are having their last autumnal run: http://t.co/rlfThu99uz http://t.co/vCpfQHWXnr","fashion"
"33","A special exhibition area dedicated to Italian style will debut at Shanghai CHIC: http://t.co/i4kvLBhPON http://t.co/NuTsxMz15X","fashion"
"34","Fashion’s existential crisis: http://t.co/4JANCnlYai http://t.co/XAleHU2VCL","fashion"
"35","Stay updated with all the happenings at @TheNYFF: http://t.co/8iezFaZmTS http://t.co/SLdmuCokS0","fashion"
"36","Buenos Aires in the Fifties inspired @BadgleyMischka's glamorous fall bridal collection: http://t.co/qofW4555AI http://t.co/bXKPVwZP5b","fashion"
"37",".@GlamSquad raises $15 million to build its on-demand brand of beauty [sub]: https://t.co/2f0OXjPNrU http://t.co/S0FsxlsH9Q","fashion"
"38","Picture books make a comeback on our fall roundup: http://t.co/yutXLMEgzP http://t.co/Mp77rs6GqI","fashion"
"39","Don't miss a single moment from Bridal Fall 2016: http://t.co/Dde85lVYZY http://t.co/XfBTW1h8ED","fashion"
"40",".@AnneBargeBride adorned her dresses with a feminine touch ideal for the traditional bride: http://t.co/ePLgzLW7AW http://t.co/YuqlARIaCZ","fashion"
"41","Bo O'Connor, @ladygaga's former chef, opens her New American comfort restaurant in Astoria: http://t.co/qzk1WUey8k http://t.co/uZimWYfQnG","fashion"
"42","Whether in the present or past, this book is primer for very stylish skiiers: http://t.co/zbn3aZNwFf http://t.co/Qpo4ITY4tE","fashion"
"43","Cate Blanchett and Robert Redford attend 'Truth' premiere: http://t.co/z7rS260aFy http://t.co/aiwG0d4wGN","fashion"
